id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_camera_shake
d_main_28_07_e_1,d_main_28_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_07_e_1,True,shifty_c,OP_center,idle,CrystalCity,2,2,1.0,bgm_destroyingcalamity_b,,,,,,,,,,,,,,,,,,,,
d_main_28_07_e_2,d_main_28_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_07_e_2,True,,OP_center,idle,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_28_07_e_3,d_main_28_07_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_07_e_3,True,,OP_center,idle,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_28_07_e_4,d_main_28_07_e,Speech,anis,anis,Locale_MainScenario:d_main_28_07_e_4,True,,OP_leftup,idle,,2,2,1.0,,shifty_c,rapi,7,idle,neon,5,idle,anis,3,idle,liveryn,1,idle,elegg,13,idle,hammering,15,idle,
d_main_28_07_e_5,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_5,True,,,,,S_130,S_130,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,special,,15,idle,
d_main_28_07_e_6,d_main_28_07_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_07_e_6,True,,,,,S_130,150,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,special,,15,idle,
d_main_28_07_e_7,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_7,True,,,,,150,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_8,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_8,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_9,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_9,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_10,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_10,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_11,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_11,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_12,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_12,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,surprise,,13,special,,15,idle,
d_main_28_07_e_13,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_13,True,,,,,10,12,1.0,,,,7,idle,,5,idle,,3,idle,,1,surprise,,13,special,,15,idle,
d_main_28_07_e_14,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_14,True,,,,,12,12,1.0,,,,7,idle,,5,idle,,3,idle,,1,pain,,13,special,,15,idle,
d_main_28_07_e_15,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_15,True,,,,,12,12,1.0,,,,7,idle,,5,idle,,3,idle,,1,pain,,13,special,,15,idle,
d_main_28_07_e_16,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_16,True,,,,,12,12,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,special,,15,idle,
d_main_28_07_e_17,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_17,True,,,,,12,S_1300,1.0,,,,7,idle,,5,idle,,3,idle,,1,worry,,13,delight,,15,idle,
d_main_28_07_e_18,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_18,True,,,,,S_1300,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,delight,,15,idle,
d_main_28_07_e_19,d_main_28_07_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_07_e_19,True,,,,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,delight,,15,idle,
d_main_28_07_e_20,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_20,True,,,,,10,13,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,
d_main_28_07_e_21,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_21,True,,,,,13,13,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,
d_main_28_07_e_22,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_22,True,,,,,13,13,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,
d_main_28_07_e_23,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_23,True,,,,,13,13,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,
d_main_28_07_e_24,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_24,True,,,,,13,13,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,
d_main_28_07_e_25,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_25,True,,,,,13,13,0.6,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,delight,,15,idle,
d_main_28_07_e_26,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_26,True,,,,,13,S_130,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,delight,,15,idle,
d_main_28_07_e_27,d_main_28_07_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_07_e_27,True,,,,,S_130,S_130,1.0,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,special,,15,idle,Low_2
