id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,characters/2/hide_char_id,characters/3/hide_char_id,characters/1/hide_char_id
d_main_33_04_1,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_1,True,cinderella,1,smile,anis,13,idle,neon,15,idle,rapi,17,idle,CrystalCity,S_100,S_10,1.0,bgm_chapter33_field_blackwave,,,,,
d_main_33_04_2,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_2,True,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
d_main_33_04_3,d_main_33_04,Self,cinderella,,Locale_MainScenario:d_main_33_04_3,False,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
d_main_33_04_4,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_4,True,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
d_main_33_04_5,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_5,True,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
d_main_33_04_6,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_6,True,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
d_main_33_04_7,d_main_33_04,Monologue,cinderella,,Locale_MainScenario:d_main_33_04_7,False,,1,smile,,13,idle,,15,idle,,17,idle,,S_10,S_100,1.0,,,,,,
d_main_33_04_8,d_main_33_04,Monologue,cinderella,,Locale_MainScenario:d_main_33_04_8,False,,1,smile,,13,idle,,15,idle,,17,idle,,S_100,S_100,1.0,,,,,,
d_main_33_04_9,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_9,True,,1,delight,,13,idle,,15,idle,,17,idle,,S_100,S_100,1.0,,,,,,
d_main_33_04_10,d_main_33_04,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_04_10,True,,1,delight,,13,idle,,15,idle,,17,idle,,S_100,S_10,1.0,,,,,,
d_main_33_04_11,d_main_33_04,Speech,anis,anis,Locale_MainScenario:d_main_33_04_11,True,,1,delight,,13,worry,,15,idle,,17,idle,,S_10,113,1.0,,,,,,
