id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_16_11_1,d_main_16_11,Speech,rapi,rapi,Locale_MainScenario:d_main_16_11_1,True,IceLand_01,9,9,1.0,bgm_secondhand,,,rapi,9,idle,,jackal,7,idle,,neon,5,idle,,anis,3,idle,,crow,12,idle,
d_main_16_11_2,d_main_16_11,Speech,rapi,rapi,Locale_MainScenario:d_main_16_11_2,True,,9,9,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,12,idle,
d_main_16_11_3,d_main_16_11,Speech,jackal,jackal,Locale_MainScenario:d_main_16_11_3,True,,9,7,1.0,,,,,9,idle,,,7,no,,,5,idle,,,3,idle,,,12,idle,
d_main_16_11_4,d_main_16_11,Speech,jackal,jackal,Locale_MainScenario:d_main_16_11_4,True,,7,7,1.0,,,,,9,idle,,,7,no,,,5,idle,,,3,idle,,,12,idle,
d_main_16_11_5,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_5,True,,7,6,1.0,,,,,9,idle,,,7,no,,,5,no,,,3,idle,,,12,idle,
d_main_16_11_6,d_main_16_11,Speech,jackal,jackal,Locale_MainScenario:d_main_16_11_6,False,,6,6,1.0,,,,,9,idle,,,7,shy_01,,,5,no,,,3,idle,,,12,idle,
d_main_16_11_7,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_7,True,,6,S_50,1.0,,,,,9,idle,,,7,shy_01,,,5,angry,,,3,idle,,,12,idle,
d_main_16_11_8,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_8,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,angry,,,3,idle,,,12,idle,
d_main_16_11_9,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_9,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,worry,,,3,idle,,,12,idle,
d_main_16_11_10,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_10,True,,S_50,S_50,1.0,,,,,9,idle,,,7,idle,,,5,worry,,,3,idle,,,12,idle,
d_main_16_11_11,d_main_16_11,Speech,jackal,jackal,Locale_MainScenario:d_main_16_11_11,True,,S_50,S_70,1.0,,,,,9,idle,,,7,shy_01,,,5,worry,,,3,idle,,,12,idle,
d_main_16_11_12,d_main_16_11,Speech,neon,neon,Locale_MainScenario:d_main_16_11_12,True,,S_70,S_50,0.5,,,,,9,idle,,,7,shy_01,,,5,delight,,,3,idle,,,12,idle,
d_main_16_11_13,d_main_16_11,Speech,anis,anis,Locale_MainScenario:d_main_16_11_13,True,,S_50,30,1.0,,,,,9,idle,,,7,idle,,,5,delight,,,3,angry,,,12,idle,
d_main_16_11_14,d_main_16_11,Self,anis,Self,Locale_MainScenario:d_main_16_11_14,False,,30,30,1.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,angry,,,12,idle,
d_main_16_11_15,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_15,True,,30,12,2.0,,,,,9,idle,,,7,idle,,,5,idle,,,3,angry,,,12,surprise,
d_main_16_11_16,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_16,True,,12,12,1.0,,,,,9,idle,rapi,,7,idle,jackal,,5,idle,neon,,3,angry,anis,,12,idle,
d_main_16_11_17,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_17,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_18,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_18,True,,12,120,2.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_19,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_19,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_20,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_20,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_21,d_main_16_11,Choice,crow,,Locale_MainScenario:d_main_16_11_21,False,,120,120,1.0,,d_main_16_11_23,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_22,d_main_16_11,Choice,crow,,Locale_MainScenario:d_main_16_11_22,False,,120,120,1.0,,d_main_16_11_26,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_23,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_23,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_24,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_24,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_25,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_25,True,,120,120,1.0,,d_main_16_11_32,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_26,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_26,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,smile,
d_main_16_11_27,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_27,False,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_28,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_28,False,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_29,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_29,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_30,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_30,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_31,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_31,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_32,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_32,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_33,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_33,True,City,120,120,1.0,,,Grey,product08,12,idle,,,,,,,,,,,,,,,12,idle,crow
d_main_16_11_34,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_34,True,,120,1,2.0,,,Grey,,12,idle,,adultwoman,2,idle,,,,,,,,,,,12,idle,
d_main_16_11_35,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_35,True,none,1,12,2.0,,,Grey,,12,idle,,,2,idle,adultwoman,,,,,,,,,,12,idle,
d_main_16_11_36,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_36,True,IceLand_01,12,12,1.0,,,,,12,idle,product08,,,,,,,,,,,,,crow,12,idle,
d_main_16_11_37,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_37,True,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_38,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_38,True,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,12,smile,
