id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_13_07_1,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_1,True,Desert_02,S_30,S_30,1.0,bgm_thecalmbeforethestorm,anis,1,sad,rapi,13,think,neon,15,idle,sugar,3,angry,,,,
d_main_13_07_2,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_2,False,,10,10,2.0,,,1,sad,,13,think,,15,idle,,3,idle,,,,
d_main_13_07_3,d_main_13_07,Speech,neon,neon,Locale_MainScenario:d_main_13_07_3,False,,S_150,S_150,1.0,,,1,sad,,13,think,,15,idle,,3,idle,,,,
d_main_13_07_4,d_main_13_07,Speech,rapi,rapi,Locale_MainScenario:d_main_13_07_4,False,,130,130,1.0,,,1,sad,,13,think,,15,idle,,3,idle,,,,
d_main_13_07_5,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_5,True,,S_30,S_30,1.0,,,1,sad,,13,think,,15,idle,,3,idle,,,,
d_main_13_07_6,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_6,True,,S_30,2,1.0,,,1,angry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_7,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_7,True,,2,2,1.0,,,1,angry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_8,d_main_13_07,Speech,neon,neon,Locale_MainScenario:d_main_13_07_8,True,,2,14,2.0,,,1,angry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_9,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_9,True,,S_30,S_30,1.0,,,1,angry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_10,d_main_13_07,Speech,neon,neon,Locale_MainScenario:d_main_13_07_10,True,,S_150,S_150,1.0,,,1,angry,,13,idle,,15,no,,3,idle,,,,
d_main_13_07_11,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_11,True,,10,10,1.0,,,1,sad,,13,idle,,15,no,,3,idle,,,,
d_main_13_07_12,d_main_13_07,Speech,shifty,shifty,Locale_MainScenario:d_main_13_07_12,True,,10,10,1.0,,,1,sad,,13,idle,,15,idle,,3,idle,shifty,OP_leftup,idle,
d_main_13_07_13,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_13,True,,10,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,delight,,OP_leftup,idle,shifty
d_main_13_07_14,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_14,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_15,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_15,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_16,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_16,True,,S_30,2,1.0,,,1,worry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_17,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_17,True,,2,2,1.0,,,1,void,,13,idle,,15,idle,,3,delight,,,,
d_main_13_07_18,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_18,True,,2,2,1.0,,,1,void,,13,idle,,15,idle,,3,delight,,,,
d_main_13_07_19,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_19,True,,2,2,1.0,,,1,angry,,13,idle,,15,idle,,3,delight,,,,
d_main_13_07_20,d_main_13_07,Speech,rapi,rapi,Locale_MainScenario:d_main_13_07_20,True,,130,130,1.0,,,1,angry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_21,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_21,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_22,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_22,True,,S_30,10,2.0,,,1,worry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_23,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_23,True,,10,2,1.0,,,1,worry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_24,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_24,True,,2,2,1.0,,,1,sad,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_25,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_25,True,,2,2,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_26,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_26,True,,2,2,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_27,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_27,True,,2,2,1.0,,,1,worry,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_28,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_28,True,,2,2,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_29,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_29,True,,2,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_30,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_30,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_31,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_31,False,,S_30,10,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_32,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_32,True,,10,10,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_33,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_33,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_34,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_34,True,,S_30,S_300,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_35,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_35,True,,S_300,S_300,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_36,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_36,True,,S_300,S_300,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_37,d_main_13_07,Speech,rapi,rapi,Locale_MainScenario:d_main_13_07_37,False,,130,130,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_38,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_38,True,,S_300,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_39,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_39,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_40,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_40,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_41,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_41,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_42,d_main_13_07,Self,sugar,,Locale_MainScenario:d_main_13_07_42,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_43,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_43,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,delight,,,,
d_main_13_07_44,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_44,True,,S_30,S_30,1.0,,,1,void,,13,idle,,15,idle,,3,idle,,,,
d_main_13_07_45,d_main_13_07,Speech,sugar,sugar,Locale_MainScenario:d_main_13_07_45,True,,S_30,S_300,0.5,,,1,sad,,13,think,,15,worry,,3,delight,,,,
d_main_13_07_46,d_main_13_07,Speech,anis,anis,Locale_MainScenario:d_main_13_07_46,True,,S_300,100,2.0,,,1,sad,,13,think,,15,worry,,3,delight,,,,
