id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/3/hide_char_id
d_subquest_1411_1,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_1,True,rapi,1,idle,anis,3,idle,neon,13,idle,shifty,OP_leftup,worry,CrystalDesert_d,2,2,1.0,bgm_story_crawlinganxiety,,
d_subquest_1411_2,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_2,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_3,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_3,True,,1,idle,,3,worry,,13,worry,,OP_leftup,worry,,S_130,S_130,1.0,,,
d_subquest_1411_4,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_4,False,,1,idle,,3,worry,,13,worry,,OP_leftup,worry,,S_130,S_130,1.0,,,
d_subquest_1411_5,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_5,True,,1,idle,,3,idle,,13,idle,,OP_leftup,worry,,S_130,12,1.0,,,
d_subquest_1411_6,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_6,True,,1,idle,,3,idle,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_7,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_7,True,,1,idle,,3,idle,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_8,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_8,True,,1,idle,,3,idle,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_9,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_9,True,,1,idle,,3,idle,,13,idle,,OP_leftup,think,,12,12,1.0,,,
d_subquest_1411_10,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_10,True,,1,idle,,3,angry,,13,idle,,OP_leftup,think,,30,30,1.0,,Low_2,
d_subquest_1411_11,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_11,True,,1,idle,,3,worry,,13,idle,,OP_leftup,think,,30,2,1.0,,,
d_subquest_1411_12,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_12,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_13,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_13,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_14,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_14,False,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_15,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_15,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_16,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_16,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_17,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_17,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,shifty
d_subquest_1411_18,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_18,True,,1,idle,,3,worry,,13,idle,,,,,2,2,1.0,,,
d_subquest_1411_19,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_19,True,,1,idle,,3,idle,,13,surprise,,,,,S_130,S_130,1.0,,,
d_subquest_1411_20,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_20,True,,1,idle,,3,idle,,13,surprise,,,,,S_130,S_130,1.0,,,
