id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_court_01_1,d_ex_court_01,Narration,Locale_SuddenStory:d_ex_court_01_1,True,Office,1,L_10,2.0,bgm_story_whosdumber,,,,,yulha,1,idle,,,,
d_ex_court_01_2,d_ex_court_01,Monologue,Locale_SuddenStory:d_ex_court_01_2,True,,L_10,L_10,1.0,,,,,,,1,idle,,,,
d_ex_court_01_3,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_3,False,,L_10,L_10,1.0,,yulha,yulha,,,,1,idle,,,,
d_ex_court_01_4,d_ex_court_01,Self,Locale_SuddenStory:d_ex_court_01_4,False,,L_10,L_10,1.0,,yulha,,,,,1,idle,,,,
d_ex_court_01_5,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_5,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,angry,,,,
d_ex_court_01_6,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_6,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,idle,,,,
d_ex_court_01_7,d_ex_court_01,Self,Locale_SuddenStory:d_ex_court_01_7,True,,L_10,L_10,1.0,,yulha,,,,,1,idle,,,,
d_ex_court_01_8,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_8,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,sad,,,,
d_ex_court_01_9,d_ex_court_01,Narration,Locale_SuddenStory:d_ex_court_01_9,True,,L_10,L_10,1.0,,yulha,,sfx_scn_knock,,,1,idle,,,,
d_ex_court_01_10,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_10,True,,L_10,2,2.0,,folkwang,folkwang,sfx_scn_autodooropen,,,1,idle,folkwang,3,idle,
d_ex_court_01_11,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_11,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,delight,
d_ex_court_01_12,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_12,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_13,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_13,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,delight,
