id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,set_filter_01
d_main_17_01_s_1,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_1,False,IceLand_02,black,black,1.0,none,,,,,,
d_main_17_01_s_2,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_2,False,,black,black,1.0,,rapunzel,1,delight,,,
d_main_17_01_s_3,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_3,True,,black,black,1.0,,,1,delight,rapunzel,rapunzel,
d_main_17_01_s_4,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_4,True,,black,black,1.0,,,1,pain,rapunzel,rapunzel,
d_main_17_01_s_5,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_5,True,,black,black,1.0,bgm_story_thepilgrim,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_6,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_6,False,,black,black,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_7,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_7,False,,1,10,1.0,,,1,idle,rapunzel,,Vignetting
d_main_17_01_s_8,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_8,True,,10,10,1.0,,,1,pain,rapunzel,rapunzel,
d_main_17_01_s_9,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_9,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_10,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_10,False,,10,10,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_11,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_11,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_12,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_12,False,,10,10,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_13,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_13,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_14,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_14,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_15,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_15,True,,10,100,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_16,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_16,True,,100,100,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_17,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_17,True,,100,100,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_18,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_18,True,,100,100,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_19,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_19,False,,100,100,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_20,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_20,True,,100,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_21,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_21,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_22,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_22,True,,10,10,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_23,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_23,False,,10,10,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_24,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_24,False,,10,1,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_25,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_25,False,,1,1,1.0,,,1,idle,rapunzel,,
d_main_17_01_s_26,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_26,False,,1,1,1.0,,,1,idle,rapunzel,,
