id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_38_02_1,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_1,True,Jungle2,12,12,1.0,bgm_chapter38_field_goldentree_a,,,leviathan,1,angry,,ziz,13,sad,
d_main_38_02_2,d_main_38_02,Narration,leviathan,,Locale_MainScenario:d_main_38_02_2,False,,12,12,1.0,,sfx_scn_medhit3,Low_2,,1,angry,,,13,sad,
d_main_38_02_3,d_main_38_02,Narration,leviathan,,Locale_MainScenario:d_main_38_02_3,False,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_4,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_4,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_5,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_5,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_6,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_6,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_7,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_7,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_8,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_8,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_9,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_9,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_10,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_10,True,,12,12,1.0,,,,,1,angry,,,13,think,
d_main_38_02_11,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_11,True,,12,12,1.0,,,,,1,angry,,,13,think,
d_main_38_02_12,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_12,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_13,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_13,True,,12,12,1.0,,,,,1,angry,,,13,sad,
d_main_38_02_14,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_14,False,,12,12,1.0,,,,,1,no,,,13,sad,
d_main_38_02_15,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_15,True,,12,12,1.0,,,,,1,think_02,,,13,sad,
d_main_38_02_16,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_16,True,,12,12,1.0,,,,,1,think_02,,,13,sad,
d_main_38_02_17,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_17,True,,12,12,1.0,,,,,1,think_02,,,13,sad,
d_main_38_02_18,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_18,True,,12,12,1.0,,,,,1,no,,,13,sad,
d_main_38_02_19,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_19,True,,12,12,1.0,,,,,1,no,,,13,think,
d_main_38_02_20,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_20,True,,12,S_10,0.7,,,,,1,angry,,,13,think,
d_main_38_02_21,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_21,False,,S_10,S_10,1.0,,,,,1,no,,,13,think,
d_main_38_02_22,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_22,True,,S_10,1,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_23,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_23,True,,1,1,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_24,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_24,True,,1,1,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_25,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_25,True,,1,1,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_26,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_26,False,,1,12,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_27,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_27,True,,12,12,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_28,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_28,False,,12,12,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_29,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_29,True,,12,12,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_30,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_30,False,,12,12,1.0,,,,,1,think_01,,,13,think,
d_main_38_02_31,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_31,True,,12,12,1.0,,,,,1,no,,,13,think,
d_main_38_02_32,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_32,True,,12,12,1.0,,,,,1,no,,,13,think,
d_main_38_02_33,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_33,True,,12,12,1.0,,,,,1,no,,,13,think,
d_main_38_02_34,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_34,True,,12,12,1.0,,,,,1,no,,,13,think,
d_main_38_02_35,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_35,True,,12,12,1.0,,,,,1,surprise,,,13,think,
d_main_38_02_36,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_36,True,,12,12,1.0,,,,,1,surprise,,,13,cry,
d_main_38_02_37,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_37,False,,12,12,1.0,,,,,1,surprise,,,13,cry,
d_main_38_02_38,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_38,True,,12,12,1.0,,,,,1,think_01,,,13,cry,
d_main_38_02_39,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_39,True,,12,12,1.0,,,,,1,think_01,,,13,cry,
d_main_38_02_40,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_40,True,,12,12,1.0,,,,,1,think_01,,,13,cry,
d_main_38_02_41,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_41,True,,12,12,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_42,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_42,True,,12,12,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_43,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_43,True,,12,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_44,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_44,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_45,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_45,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_46,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_46,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_47,d_main_38_02,Speech,ziz,leviathan,Locale_MainScenario:d_main_38_02_47,False,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_48,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_48,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_49,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_49,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_50,d_main_38_02,Speech,ziz,ziz,Locale_MainScenario:d_main_38_02_50,True,,S_130,S_130,1.0,,,,,1,think_02,,,13,cry,
d_main_38_02_51,d_main_38_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_02_51,False,,S_130,S_10,1.0,,,,,1,no,,,13,cry,
