id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake
d_main_23_07_s_1,d_main_23_07_s,Narration,Locale_MainScenario:d_main_23_07_s_1,False,OuterrimWall,1,1,1.0,bgm_greyhaze_b,,,,,,,,,,
d_main_23_07_s_2,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_2,True,,1,10,1.0,,moran,moran,moran,1,think,sakura_op_l,OP_leftup,idle,,
d_main_23_07_s_3,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_3,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_4,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_4,True,,10,10,1.0,,moran,moran,,1,think,,OP_leftup,idle,,
d_main_23_07_s_5,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_5,True,,10,10,1.0,,moran,moran,,1,think,,OP_leftup,idle,,
d_main_23_07_s_6,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_6,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_7,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_7,True,,10,10,1.0,,moran,moran,,1,angry,,OP_leftup,idle,,
d_main_23_07_s_8,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_8,True,,10,10,1.0,,moran,moran,,1,angry,,OP_leftup,idle,,
d_main_23_07_s_9,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_9,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,angry,,OP_leftup,idle,,
d_main_23_07_s_10,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_10,True,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_11,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_11,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_12,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_12,True,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_13,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_13,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_14,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_14,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_15,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_15,True,,10,10,1.0,,sakura_op_l,sakura_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_16,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_16,True,,10,100,0.8,,moran,moran,,1,angry,,OP_leftup,idle,sakura_op_l,
d_main_23_07_s_17,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_17,True,,100,100,1.0,,moran,moran,,1,worry,,,,,
d_main_23_07_s_18,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_18,False,,100,10,1.0,,moran,moran,,1,think,,,,,
d_main_23_07_s_19,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_19,True,,10,10,1.0,,moran,moran,,1,think,rosanna_op_l,OP_leftup,idle,,
d_main_23_07_s_20,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_20,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_21,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_21,True,,10,10,1.0,,moran,moran,,1,think,,OP_leftup,idle,,
d_main_23_07_s_22,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_22,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_23,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_23,True,,10,10,1.0,,moran,moran,,1,think,,OP_leftup,idle,,
d_main_23_07_s_24,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_24,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_25,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_25,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,think,,OP_leftup,idle,,
d_main_23_07_s_26,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_26,True,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_27,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_27,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_28,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_28,True,,10,10,1.0,,moran,moran,,1,no,,OP_leftup,idle,,
d_main_23_07_s_29,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_29,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,no,,OP_leftup,idle,,
d_main_23_07_s_30,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_30,False,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_31,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_31,True,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_32,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_32,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,good,,
d_main_23_07_s_33,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_33,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_34,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_34,True,,10,10,1.0,,moran,moran,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_35,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_35,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_36,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_36,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_37,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_37,True,,10,10,1.0,,rosanna_op_l,rosanna_op_l,,1,worry,,OP_leftup,idle,,
d_main_23_07_s_38,d_main_23_07_s,Narration,Locale_MainScenario:d_main_23_07_s_38,False,,10,10,1.0,,,,,1,worry,,OP_leftup,idle,rosanna_op_l,
d_main_23_07_s_39,d_main_23_07_s,Speech,Locale_MainScenario:d_main_23_07_s_39,True,,10,100,0.8,,moran,moran,,1,angry,,,,,
