id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_33_08_1,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_1,True,leviathan,1,angry,behemoth,3,void,WhiteHouse,S_10,S_10,1.0,bgm_story_confront,,,,,,
d_main_33_08_2,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_2,True,,1,angry,,3,void,,S_10,1,1.0,,,,,,,
d_main_33_08_3,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_3,True,,1,angry,,3,void,,1,31,1.0,,,,,,,
d_main_33_08_4,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_4,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_5,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_5,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_6,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_6,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_7,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_7,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_8,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_8,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_9,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_9,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_10,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_10,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_11,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_11,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_12,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_12,True,,1,angry,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_13,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_13,True,,1,angry,,3,void,,31,30,1.0,,,,,,,
d_main_33_08_14,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_14,True,,1,angry,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_15,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_15,True,,1,angry,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_16,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_16,True,,1,angry,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_17,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_17,False,,1,think_02,,3,void,,30,S_10,1.0,,,,,,,
d_main_33_08_18,d_main_33_08,Monologue,leviathan,,Locale_MainScenario:d_main_33_08_18,False,,1,think_02,,3,void,,black,black,1.0,,,,,,,
d_main_33_08_19,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_19,True,,1,think_02,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_20,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_20,True,,1,think_02,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_21,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_21,True,,1,think_02,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_22,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_22,True,,1,think_02,,3,void,,30,30,1.0,,,,,,,
d_main_33_08_23,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_23,False,,1,think_02,,3,void,,30,31,1.0,,,,,,,
d_main_33_08_24,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_24,True,,1,think_02,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_25,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_25,True,,1,think_02,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_26,d_main_33_08,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_08_26,False,,1,think_02,,3,void,,31,31,1.0,,,,,,,
d_main_33_08_27,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_27,True,,1,think_02,,3,idle,,31,30,1.0,,,,,,,
d_main_33_08_28,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_28,True,,1,think_02,,3,idle,,30,30,1.0,,,,,,,
d_main_33_08_29,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_29,True,,1,think_02,,3,idle,,30,30,1.0,,,,,,,
d_main_33_08_30,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_30,True,,1,think_02,,3,idle,,30,30,1.0,,,,,,,
d_main_33_08_31,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_31,True,,1,think_02,,3,idle,,30,300,1.0,,,,,,,
d_main_33_08_32,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_32,True,,1,think_02,,3,idle,,300,300,1.0,,,,,,,
d_main_33_08_33,d_main_33_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_08_33,True,,1,think_02,,3,idle,,300,300,1.0,,,,,,,
d_main_33_08_34,d_main_33_08,Self,behemoth,,Locale_MainScenario:d_main_33_08_34,False,,1,think_02,,3,idle,,300,300,1.0,,,,,,,
