id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,jump_target,play_sound
d_ex_outdoorpool_06_1,d_ex_outdoorpool_06,Speech,unknown,unknown,Locale_SuddenStory:d_ex_outdoorpool_06_1,True,OutpostOut,1,1,1.0,bgm_story_whosdumber,,,,,,,,,
d_ex_outdoorpool_06_2,d_ex_outdoorpool_06,Speech,unknown,unknown,Locale_SuddenStory:d_ex_outdoorpool_06_2,True,,1,1,1.0,,,,,,,,,,
d_ex_outdoorpool_06_3,d_ex_outdoorpool_06,Self,,Self,Locale_SuddenStory:d_ex_outdoorpool_06_3,False,,1,1,1.0,,,,,,,,,,
d_ex_outdoorpool_06_4,d_ex_outdoorpool_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_outdoorpool_06_4,False,Pool,1,1,1.0,,,,,,,,,,
d_ex_outdoorpool_06_5,d_ex_outdoorpool_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_outdoorpool_06_5,False,,1,1,1.0,,,,,,,,,,
d_ex_outdoorpool_06_6,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_6,True,,1,1,1.0,,anis_s,2,idle,mast_s,12,angry,,,
d_ex_outdoorpool_06_7,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_7,True,,1,1,1.0,,,2,idle,,12,angry,,,
d_ex_outdoorpool_06_8,d_ex_outdoorpool_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_06_8,True,,1,1,1.0,,,2,worry,,12,angry,,,
d_ex_outdoorpool_06_9,d_ex_outdoorpool_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_06_9,True,,1,1,1.0,,,2,worry,,12,angry,,,
d_ex_outdoorpool_06_10,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_10,True,,1,1,1.0,,,2,idle,,12,angry2,,,
d_ex_outdoorpool_06_11,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_11,True,,1,1,1.0,,,2,idle,,12,angry2,,,
d_ex_outdoorpool_06_12,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_12,True,,1,1,1.0,,,2,idle,,12,angry2,,,
d_ex_outdoorpool_06_13,d_ex_outdoorpool_06,Self,,Self,Locale_SuddenStory:d_ex_outdoorpool_06_13,False,,1,1,1.0,,,2,idle,,12,angry2,,,
d_ex_outdoorpool_06_14,d_ex_outdoorpool_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_06_14,True,,1,1,1.0,,,2,idle,,12,angry2,,,
d_ex_outdoorpool_06_15,d_ex_outdoorpool_06,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_outdoorpool_06_15,True,,1,1,1.0,,,2,idle,,12,sad2,,,
