id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake,characters/0/hide_char_id
d_ex_toyshop_06_1,d_ex_toyshop_06,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_06_1,False,OutpostOut,black,black,1.0,bgm_story_leisuretime,,,,,,,,,,,
d_ex_toyshop_06_2,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_2,True,,2,2,1.0,,nero,nero,2,idle,,,,,,,
d_ex_toyshop_06_3,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_3,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_4,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_4,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_5,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_5,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_6,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_6,False,,2,2,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_7,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_7,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_8,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_8,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_9,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_9,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_10,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_10,True,,2,2,1.0,,nero,,2,shy,,,,,,,
d_ex_toyshop_06_11,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_11,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_12,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_12,False,,2,2,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_13,d_ex_toyshop_06,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_06_13,False,ToyShop,black,black,1.0,,,,2,idle,sfx_scn_chimebell,,,,,,
d_ex_toyshop_06_14,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_14,False,,2,2,1.0,,nero,,2,sad,,,,,,,
d_ex_toyshop_06_15,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_15,True,,2,2,1.0,,nero,,2,sad,,,,,,,
d_ex_toyshop_06_16,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_16,False,,2,2,1.0,,,,2,sad,,,,,,,
d_ex_toyshop_06_17,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_17,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_18,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_18,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_19,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_19,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_20,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_20,False,,2,2,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_21,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_21,True,,2,2,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_22,d_ex_toyshop_06,Monologue,Monologue,Locale_SuddenStory:d_ex_toyshop_06_22,False,,2,2,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_23,d_ex_toyshop_06,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_06_23,False,,black,black,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_24,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_24,False,,2,L_20,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_25,d_ex_toyshop_06,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_06_25,False,,black,black,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_26,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_26,False,,L_20,L_200,1.0,,,,2,idle,,,,,,,
d_ex_toyshop_06_27,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_27,True,,L_200,L_20,0.7,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_28,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_28,True,,L_20,L_20,1.0,,nero,,2,idle,,,,,,,
d_ex_toyshop_06_29,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_29,True,,L_20,1,1.0,,admi,,2,idle,,admi,12,delight,,,
d_ex_toyshop_06_30,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_30,True,,1,1,1.0,,admi,,2,idle,,,12,delight,,,
d_ex_toyshop_06_31,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_31,True,,1,1,1.0,,admi,,2,idle,,,12,delight,,,
d_ex_toyshop_06_32,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_32,False,,1,1,1.0,,,,2,idle,,,12,delight,,,
d_ex_toyshop_06_33,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_33,False,,1,1,1.0,,,,2,idle,,,12,delight,,,
d_ex_toyshop_06_34,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_34,True,,1,1,1.0,,admi,,2,idle,,,12,idle,,,
d_ex_toyshop_06_35,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_35,True,,1,1,1.0,,admi,,2,idle,,,12,idle,,,
d_ex_toyshop_06_36,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_36,True,,1,1,1.0,,nero,,2,shy,,,12,idle,,,
d_ex_toyshop_06_37,d_ex_toyshop_06,Self,Self,Locale_SuddenStory:d_ex_toyshop_06_37,False,,1,1,1.0,,,,2,shy,,,12,idle,,,
d_ex_toyshop_06_38,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_38,True,,1,1,1.0,,nero,,2,idle,,,12,idle,,,
d_ex_toyshop_06_39,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_39,True,,1,1,1.0,,admi,,2,idle,,,12,idle,,,
d_ex_toyshop_06_40,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_40,True,,1,1,2.0,,admi,,2,idle,,,12,idle,,,
d_ex_toyshop_06_41,d_ex_toyshop_06,Speech,admi,Locale_SuddenStory:d_ex_toyshop_06_41,True,,1,1,1.0,,admi,,2,idle,,,12,idle,,,
d_ex_toyshop_06_42,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_42,True,,1,1,1.0,,nero,,2,idle,,,12,idle,,,
d_ex_toyshop_06_43,d_ex_toyshop_06,Monologue,Monologue,Locale_SuddenStory:d_ex_toyshop_06_43,False,,black,black,1.0,none,,,2,idle,,,12,idle,,,
d_ex_toyshop_06_44,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_44,False,,2,2,1.0,,nero,,2,idle,,,12,idle,,,
d_ex_toyshop_06_45,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_45,True,,2,2,1.0,,nero,,2,idle,,,12,idle,,,
d_ex_toyshop_06_46,d_ex_toyshop_06,Speech,nero,Locale_SuddenStory:d_ex_toyshop_06_46,True,,2,2,1.0,,nero,,2,idle,,,12,idle,,,
