id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_35_08_e_1,d_main_35_08_e,Speech,laplace,laplace,Locale_MainScenario:d_main_35_08_e_1,True,EggArea,16,16,1.0,bgm_emergency,,,rapi_red,5,idle,,maxwell,3,idle,,cinderella,1,surprise,,grave_p,13,idle,,drake,15,delight,,laplace,17,delight,
d_main_35_08_e_2,d_main_35_08_e,Speech,drake,drake,Locale_MainScenario:d_main_35_08_e_2,True,,16,16,1.0,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,delight,,,17,delight,
d_main_35_08_e_3,d_main_35_08_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_08_e_3,True,,12,12,1.0,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,delight,,,17,delight,
d_main_35_08_e_4,d_main_35_08_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_08_e_4,True,,12,12,1.0,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,delight,,,17,delight,
d_main_35_08_e_5,d_main_35_08_e,Speech,drake,drake,Locale_MainScenario:d_main_35_08_e_5,True,,12,14,1.0,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,angry,,,17,delight,
d_main_35_08_e_6,d_main_35_08_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_08_e_6,True,,14,14,1.0,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,angry,,,17,delight,
d_main_35_08_e_7,d_main_35_08_e,Speech,drake,drake,Locale_MainScenario:d_main_35_08_e_7,True,,14,14,1.0,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,no,,,17,delight,
d_main_35_08_e_8,d_main_35_08_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_08_e_8,True,,14,L_130,1.0,,,,,5,idle,,,3,idle,,,1,idle,,,13,angry,,,15,no,,,17,delight,
d_main_35_08_e_9,d_main_35_08_e,Monologue,grave_p,,Locale_MainScenario:d_main_35_08_e_9,False,,L_130,L_130,1.0,,,,,5,idle,,,3,idle,,,1,idle,,,13,angry,,,15,idle,,,17,idle,
d_main_35_08_e_10,d_main_35_08_e,Monologue,grave_p,,Locale_MainScenario:d_main_35_08_e_10,False,,L_130,L_130,1.0,,,,,5,idle,,,3,idle,,,1,idle,,,13,angry,,,15,idle,,,17,idle,
d_main_35_08_e_11,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_11,False,,black,black,1.0,,sfx_scn_bigeggcrackshort,,,5,idle,,,3,idle,,,1,idle,,,13,angry,,,15,idle,,,17,idle,
d_main_35_08_e_12,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_12,False,,black,black,1.0,,sfx_scn_birthrapture1,,,5,idle,rapi_red,,3,idle,maxwell,,1,idle,cinderella,,13,angry,grave_p,,15,idle,drake,,17,idle,laplace
d_main_35_08_e_13,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_13,False,,black,black,1.0,,sfx_scn_smallrapturehowl1,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_14,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_14,False,,black,black,1.0,,sfx_scn_birthrapture2,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_15,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_15,False,,black,black,1.0,,sfx_scn_bigeggcrackshort,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_16,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_16,False,,black,black,1.0,,sfx_scn_smallrapturehowl2,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_17,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_17,False,,black,black,1.0,,sfx_scn_smallrapturehowl3,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_18,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_18,False,,black,black,1.0,,sfx_scn_birthrapture3,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_19,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_19,False,,black,black,1.0,,sfx_scn_birthrapture1,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_20,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_20,False,,black,black,1.0,,sfx_scn_bigeggcrackshort,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_21,d_main_35_08_e,Narration,grave_p,,Locale_MainScenario:d_main_35_08_e_21,False,,black,black,1.0,,sfx_scn_smallrapturehowl1,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_22,d_main_35_08_e,Monologue,grave_p,,Locale_MainScenario:d_main_35_08_e_22,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_23,d_main_35_08_e,Monologue,grave_p,,Locale_MainScenario:d_main_35_08_e_23,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_35_08_e_24,d_main_35_08_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_35_08_e_24,True,,12,12,1.0,,,,rapi_red,5,idle,,maxwell,3,idle_02,,cinderella,1,angry,,grave_p,13,angry,,drake,15,idle,,laplace,17,idle,
d_main_35_08_e_25,d_main_35_08_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_35_08_e_25,True,,12,12,1.0,,,,,5,idle,,,3,idle_02,,,1,angry,,,13,angry,,,15,idle,,,17,idle,
