id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_subquest_1043_e_1,d_subquest_1043_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1043_e_1,True,WasteLand_04,30,30,1.0,bgm_emergency,,anis,5,angry,rapi,3,idle,neon,1,idle,jannemiller,15,idle,
d_subquest_1043_e_2,d_subquest_1043_e,Narration,rapi,,Locale_SubScenario:d_subquest_1043_e_2,False,,black,black,1.0,,sfx_scn_run,,5,angry,,3,idle,,1,idle,,15,idle,
d_subquest_1043_e_3,d_subquest_1043_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1043_e_3,True,,50,50,1.0,,,,5,angry,,3,idle,,1,idle,,15,idle,
d_subquest_1043_e_4,d_subquest_1043_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1043_e_4,True,,50,30,1.0,,,,5,angry,,3,angry,,1,idle,,15,idle,
d_subquest_1043_e_5,d_subquest_1043_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1043_e_5,True,,S_10,S_100,2.0,,,,5,angry,,3,angry,,1,no,,15,idle,
d_subquest_1043_e_6,d_subquest_1043_e,Narration,neon,,Locale_SubScenario:d_subquest_1043_e_6,False,,black,black,1.0,,sfx_scn_bang,,5,angry,,3,angry,,1,no,,15,idle,
d_subquest_1043_e_7,d_subquest_1043_e,Speech,jannemiller,jannemiller,Locale_SubScenario:d_subquest_1043_e_7,True,,black,black,1.0,,,,5,angry,,3,idle,,1,no,,15,idle,
d_subquest_1043_e_8,d_subquest_1043_e,Monologue,jannemiller,,Locale_SubScenario:d_subquest_1043_e_8,False,,black,black,1.0,,sfx_scn_heavytrip,,5,angry,,3,idle,,1,no,,15,idle,
d_subquest_1043_e_9,d_subquest_1043_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1043_e_9,True,,S_100,S_10,1.0,none,,,5,angry,,3,idle,,1,delight,,15,idle,
d_subquest_1043_e_10,d_subquest_1043_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1043_e_10,True,,50,50,1.0,,,,5,angry,,3,idle,,1,delight,,15,idle,
