id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_27_09_e_1,d_main_27_09_e,Narration,Locale_MainScenario:d_main_27_09_e_1,False,ManyCrystalDesert_d,black,black,1.0,sfx_scn_heavymetaldrop,bgm_enemyclose,,,elegg,1,surprise,,hammering,3,worry,,liveryn,5,worry,,rapi,13,idle,,anis,15,worry,,neon,17,idle,,,,,,,,
d_main_27_09_e_2,d_main_27_09_e,Monologue,Locale_MainScenario:d_main_27_09_e_2,False,,black,black,1.0,,,,,,1,surprise,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_3,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_3,True,,13,130,1.0,,,rapi,rapi,,1,surprise,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_4,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_4,True,,130,S_10,1.0,,,elegg,elegg,,1,surprise,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_5,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_5,True,,150,150,1.0,,,anis,anis,,1,surprise,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_6,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_6,True,,30,30,1.0,,,hammering,hammering,,1,surprise,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_7,d_main_27_09_e,Monologue,Locale_MainScenario:d_main_27_09_e_7,False,,30,70,2.0,,,,,,1,idle,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_8,d_main_27_09_e,Monologue,Locale_MainScenario:d_main_27_09_e_8,False,,70,70,1.0,,,,,,1,idle,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_9,d_main_27_09_e,Self,Locale_MainScenario:d_main_27_09_e_9,False,,70,700,1.0,,,,,,1,idle,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_10,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_10,True,,S_100,S_100,1.0,,,elegg,elegg,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_11,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_11,False,,S_100,S_100,1.0,,,elegg,elegg,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_12,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_12,True,,S_100,S_10,1.0,,,elegg,elegg,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_13,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_13,True,,S_10,31,1.0,,,hammering,hammering,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_14,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_14,True,,31,31,1.0,,,elegg,elegg,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
d_main_27_09_e_15,d_main_27_09_e,Speech,Locale_MainScenario:d_main_27_09_e_15,True,,31,31,1.0,,,elegg,elegg,,1,pain,,,3,worry,,,5,worry,,,13,idle,,,15,worry,,,17,idle,,,,,,,,
