id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_toyshop_09_1,d_ex_toyshop_09,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_09_1,False,ToyShop,black,black,1.0,sfx_scn_toyshopbell,none,,,belorta,5,delight,mica,7,delight,zwei,3,idle
d_ex_toyshop_09_2,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_2,True,,6,6,1.0,,bgm_story_backtonormal,mica,,,5,delight,,7,delight,,3,idle
d_ex_toyshop_09_3,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_3,True,,6,6,1.0,,,belorta,,,5,delight,,7,delight,,3,idle
d_ex_toyshop_09_4,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_4,True,,6,3,1.0,,,zwei,,,5,delight,,7,delight,,3,idle
d_ex_toyshop_09_5,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_5,False,,3,3,1.0,,,,,,5,idle,,7,idle,,3,idle
d_ex_toyshop_09_6,d_ex_toyshop_09,Self,zwei,Locale_SuddenStory:d_ex_toyshop_09_6,False,,3,3,1.0,,,,,,5,idle,,7,idle,,3,idle
d_ex_toyshop_09_7,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_7,True,,3,3,1.0,,,zwei,,,5,idle,,7,idle,,3,idle
d_ex_toyshop_09_8,d_ex_toyshop_09,Speech,zwei,Locale_SuddenStory:d_ex_toyshop_09_8,True,,3,3,1.0,,,zwei,,,5,idle,,7,idle,,3,idle
d_ex_toyshop_09_9,d_ex_toyshop_09,Speech,mica,Locale_SuddenStory:d_ex_toyshop_09_9,True,,3,6,1.0,,,mica,,,5,idle,,7,idle,,3,idle
d_ex_toyshop_09_10,d_ex_toyshop_09,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_09_10,True,,6,6,1.0,,,belorta,,,5,idle,,7,idle,,3,idle
