id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,set_camera_shake,jump_target
d_main_05_08_s_1,d_main_05_08_s,Speech,alice,alice,Locale_MainScenario:d_main_05_08_s_1,True,alice,3,surprise,ludmilla,1,idle,IceLand_02,31,31,1.0,none,,,,,,,,,
d_main_05_08_s_2,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_2,True,,3,surprise,,1,idle,,31,31,1.0,bgm_secondhand,,,,,,,,,
d_main_05_08_s_3,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_3,True,,3,idle,,1,idle,,31,31,1.0,,,,,,,,,,
d_main_05_08_s_4,d_main_05_08_s,Monologue,ludmilla,,Locale_MainScenario:d_main_05_08_s_4,True,,3,idle,,1,idle,,31,17,2.0,,,,,,,,,,
d_main_05_08_s_5,d_main_05_08_s,Monologue,ludmilla,,Locale_MainScenario:d_main_05_08_s_5,True,,3,idle,,1,idle,,17,31,2.0,,,,,,,,,,
d_main_05_08_s_6,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_6,True,,3,idle,,1,idle,,31,31,1.0,,,,,,,,,,
d_main_05_08_s_7,d_main_05_08_s,Self,ludmilla,Self,Locale_MainScenario:d_main_05_08_s_7,True,,3,idle,,1,idle,,31,31,1.0,,,,,,,,,,
d_main_05_08_s_8,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_8,True,,3,idle,,1,idle,,31,10,1.0,,,,,,,,,,
d_main_05_08_s_9,d_main_05_08_s,Speech,neon,neon,Locale_MainScenario:d_main_05_08_s_9,True,,3,idle,,1,idle,,10,18,1.0,,anis,17,angry,neon,19,no,,,
d_main_05_08_s_10,d_main_05_08_s,Speech,anis,anis,Locale_MainScenario:d_main_05_08_s_10,True,,3,idle,,1,idle,,18,18,1.0,,,17,angry,,19,no,,,
d_main_05_08_s_11,d_main_05_08_s,Speech,neon,neon,Locale_MainScenario:d_main_05_08_s_11,True,,3,idle,,1,idle,,18,S_190,0.5,,,17,angry,,19,no,,,
d_main_05_08_s_12,d_main_05_08_s,Speech,anis,anis,Locale_MainScenario:d_main_05_08_s_12,True,,3,idle,,1,idle,,S_190,170,0.5,,,17,angry,,19,no,,,
d_main_05_08_s_13,d_main_05_08_s,Narration,anis,Narration,Locale_MainScenario:d_main_05_08_s_13,True,,3,idle,,1,idle,,170,18,1.0,,,17,angry,,19,no,sfx_scn_3shotgun,Low_2,
d_main_05_08_s_14,d_main_05_08_s,Monologue,anis,,Locale_MainScenario:d_main_05_08_s_14,True,,3,idle,,1,idle,,18,18,1.0,,,17,angry,,19,no,,,
d_main_05_08_s_15,d_main_05_08_s,Speech,neon,neon,Locale_MainScenario:d_main_05_08_s_15,True,,3,idle,,1,idle,,18,S_1900,0.5,,,17,angry,,19,no,,,
d_main_05_08_s_16,d_main_05_08_s,Narration,neon,Narration,Locale_MainScenario:d_main_05_08_s_16,True,,3,idle,,1,idle,,S_1900,S_1900,1.0,,,17,angry,,19,no,sfx_scn_3shotgun,Low_2,
d_main_05_08_s_17,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_17,True,,3,idle,,1,idle,,S_1900,31,2.0,,,17,angry,,19,no,,,
d_main_05_08_s_18,d_main_05_08_s,Choice,ludmilla,,Locale_MainScenario:d_main_05_08_s_18,True,,3,idle,,1,idle,,31,31,1.0,,,17,angry,,19,no,,,d_main_05_08_s_23
d_main_05_08_s_19,d_main_05_08_s,Choice,ludmilla,,Locale_MainScenario:d_main_05_08_s_19,True,,3,idle,,1,idle,,31,31,1.0,,,17,angry,,19,no,,,d_main_05_08_s_20
d_main_05_08_s_20,d_main_05_08_s,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_08_s_20,False,,3,idle,,1,idle,,31,31,1.0,,,17,angry,,19,no,,,
