id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade
d_main_13_05_e_1,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_1,True,anis,3,idle,rapi,1,idle,neon,13,idle,brid,9,idle,soline,7,idle,diesel,5,worry,MachineRoom,10,10,1.0,bgm_spot_dustrider_b,,,,
d_main_13_05_e_2,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_2,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,worry,,10,50,2.0,,,,,
d_main_13_05_e_3,d_main_13_05_e,Speech,brid,brid,Locale_MainScenario:d_main_13_05_e_3,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,worry,,L_90,L_90,1.0,,,,,
d_main_13_05_e_4,d_main_13_05_e,Speech,soline,soline,Locale_MainScenario:d_main_13_05_e_4,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,pain,,5,worry,,L_90,8,1.0,,,,,
d_main_13_05_e_5,d_main_13_05_e,Speech,brid,brid,Locale_MainScenario:d_main_13_05_e_5,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,pain,,5,worry,,8,8,1.0,,,,,
d_main_13_05_e_6,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_6,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,8,5,1.0,,,,,
d_main_13_05_e_7,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_7,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,delight,,5,5,1.0,,,,,
d_main_13_05_e_8,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_8,True,,3,idle,,1,worry,,13,idle,,9,idle,,7,idle,,5,idle,,10,10,1.0,,,,,
d_main_13_05_e_9,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_9,True,,3,idle,,1,worry,,13,idle,,9,idle,,7,idle,,5,idle,,50,50,1.0,,,,,
d_main_13_05_e_10,d_main_13_05_e,Speech,soline,soline,Locale_MainScenario:d_main_13_05_e_10,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,50,6,2.0,,,,,
d_main_13_05_e_11,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_11,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,6,6,1.0,,,,,
d_main_13_05_e_12,d_main_13_05_e,Self,diesel,,Locale_MainScenario:d_main_13_05_e_12,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,6,6,1.0,,,,,
d_main_13_05_e_13,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_13,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,delight,,6,50,2.0,,,,,
d_main_13_05_e_14,d_main_13_05_e,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_e_14,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,50,50,1.0,,,,,
d_main_13_05_e_15,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_15,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,10,10,1.0,,,,,
d_main_13_05_e_16,d_main_13_05_e,Monologue,rapi,,Locale_MainScenario:d_main_13_05_e_16,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,10,100,0.5,,,,,
d_main_13_05_e_17,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_17,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,100,100,1.0,,,,,
d_main_13_05_e_18,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_18,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,100,100,1.0,,,,,
d_main_13_05_e_19,d_main_13_05_e,Speech,anis,anis,Locale_MainScenario:d_main_13_05_e_19,True,,3,delight,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,100,300,1.0,,,,,
d_main_13_05_e_20,d_main_13_05_e,Speech,neon,neon,Locale_MainScenario:d_main_13_05_e_20,True,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,black,black,1.0,,brid,soline,diesel,
d_main_13_05_e_21,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_21,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,Desert_03,1,10,2.0,,,,,black
d_main_13_05_e_22,d_main_13_05_e,Self,rapi,,Locale_MainScenario:d_main_13_05_e_22,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,,10,10,1.0,,,,,
d_main_13_05_e_23,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_23,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,,10,2,1.0,,,,,
d_main_13_05_e_24,d_main_13_05_e,Speech,anis,anis,Locale_MainScenario:d_main_13_05_e_24,True,,3,delight,,1,idle,,13,idle,,,,,,,,,,,2,2,1.0,,,,,
d_main_13_05_e_25,d_main_13_05_e,Speech,neon,neon,Locale_MainScenario:d_main_13_05_e_25,True,,3,idle,,1,idle,,13,delight,,,,,,,,,,,2,12,1.0,,,,,
d_main_13_05_e_26,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_26,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,,12,12,1.0,,,,,
d_main_13_05_e_27,d_main_13_05_e,Speech,shifty,shifty,Locale_MainScenario:d_main_13_05_e_27,True,,3,idle,,1,idle,,13,idle,shifty,OP_leftup,idle,,,,,,,,12,12,1.0,,,,,
d_main_13_05_e_28,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_28,True,,3,idle,,1,think,,13,idle,,OP_leftup,idle,,,,,,,,12,10,2.0,,shifty,,,
d_main_13_05_e_29,d_main_13_05_e,Speech,anis,anis,Locale_MainScenario:d_main_13_05_e_29,True,,3,delight,,1,idle,,13,idle,,,,,,,,,,,10,30,1.0,,,,,
d_main_13_05_e_30,d_main_13_05_e,Self,anis,,Locale_MainScenario:d_main_13_05_e_30,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,,30,30,1.0,,,,,
d_main_13_05_e_31,d_main_13_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_e_31,True,,3,idle,,1,idle,,13,idle,,,,,,,,,,,10,10,1.0,,,,,
