id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_36_08_s_1,d_main_36_08_s,Narration,anis,Locale_MainScenario:d_main_36_08_s_1,False,anis,12,idle,neon,14,idle,CommanderRoom,13,13,1.0,bgm_story_breakaway,,,,,,,,
d_main_36_08_s_2,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_2,True,,12,idle,,14,idle,,13,13,1.0,,anis,,,,,,,
d_main_36_08_s_3,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_3,True,,12,idle,,14,worry,,13,13,1.0,,neon,,,,,,,
d_main_36_08_s_4,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_4,True,,12,angry,,14,worry,,13,13,1.0,,anis,,,,,,,
d_main_36_08_s_5,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_5,True,,12,angry,,14,idle,,13,13,1.0,,neon,,,,,,,
d_main_36_08_s_6,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_6,True,,12,idle,,14,idle,,13,13,1.0,,anis,,,,,,,
d_main_36_08_s_7,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_7,True,,12,idle,,14,idle,,13,13,1.0,,anis,,,,,,,
d_main_36_08_s_8,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_8,True,,12,idle,,14,idle,,13,120,1.3,,anis,,,,,,,
d_main_36_08_s_9,d_main_36_08_s,Narration,anis,Locale_MainScenario:d_main_36_08_s_9,False,,12,idle,,16,idle,,black,black,1.0,,,sfx_scn_bodyfallblanket,,,,,,
d_main_36_08_s_10,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_10,True,,12,idle,,16,worry,,S_160,S_160,1.0,,neon,,,,,,,
d_main_36_08_s_11,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_11,True,,12,idle,,16,worry,,120,120,1.3,,anis,,,,,,,
d_main_36_08_s_12,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_12,False,,12,idle,,16,worry,,120,1200,1.3,,anis,,,,,,,
d_main_36_08_s_13,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_13,True,,12,shy,,16,worry,,1200,120,1.3,,anis,,,,,,,
d_main_36_08_s_14,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_14,True,,12,shy,,16,worry,,S_160,S_160,1.3,,neon,,,,,,,
d_main_36_08_s_15,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_15,True,,12,angry,,16,worry,,120,120,1.0,,anis,,,,,,,
d_main_36_08_s_16,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_16,True,,12,angry,,14,idle,,120,13,1.0,,neon,,,,,,,
d_main_36_08_s_17,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_17,True,,12,angry,,14,idle,,13,13,1.0,,anis,,,,,,,
d_main_36_08_s_18,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_18,False,,12,angry,,14,idle,,13,13,1.0,none,eyeri,,eyeri,2,idle,,,
d_main_36_08_s_19,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_19,True,,12,angry,,14,idle,,13,2,2.0,bgm_story_empathize,eyeri,,,2,idle,,,
d_main_36_08_s_20,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_20,False,,12,angry,,14,idle,,2,2,1.0,,anis,,,2,idle,,,
d_main_36_08_s_21,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_21,False,,12,angry,,14,surprise,,2,2,1.0,,neon,,,2,idle,,,
d_main_36_08_s_22,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_22,True,,12,angry,,14,surprise,,2,2,1.0,,eyeri,,,2,delight,,,
d_main_36_08_s_23,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_23,True,,12,angry,,14,surprise,,2,3,1.3,,avistar,,,2,delight,avistar,4,idle
d_main_36_08_s_24,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_24,True,,12,angry,,14,surprise,,3,3,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_25,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_25,True,,12,angry,,14,surprise,,3,3,1.0,,avistar,,,2,idle,,4,idle
d_main_36_08_s_26,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_26,True,,12,angry,,14,surprise,,13,13,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_27,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_27,True,,12,angry,,14,no,,13,13,1.0,,neon,,,2,idle,,4,idle
d_main_36_08_s_28,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_28,True,,12,angry,,14,no,,13,13,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_29,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_29,True,,12,angry,,14,no,,13,13,1.0,,neon,,,2,idle,,4,idle
d_main_36_08_s_30,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_30,True,,12,angry,,14,no,,3,3,1.0,,eyeri,,,2,angry,,4,idle
d_main_36_08_s_31,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_31,True,,12,angry,,14,no,,3,3,1.0,,eyeri,,,2,void,,4,idle
d_main_36_08_s_32,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_32,True,,12,angry,,14,no,,3,3,1.0,,avistar,,,2,void,,4,surprise
d_main_36_08_s_33,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_33,True,,12,angry,,14,no,,3,L_20,1.0,,eyeri,,,2,angry,,4,surprise
d_main_36_08_s_34,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_34,True,,12,angry,,14,no,,120,120,1.0,,anis,,,2,angry,,4,surprise
d_main_36_08_s_35,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_35,True,,12,angry,,14,idle,,3,3,1.0,,eyeri,,,2,idle,,4,surprise
d_main_36_08_s_36,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_36,True,,12,angry,,14,idle,,3,3,1.3,,avistar,,,2,idle,,4,idle
d_main_36_08_s_37,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_37,True,,12,angry,,14,idle,,13,13,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_38,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_38,True,,12,angry,,14,idle,,13,13,1.0,,neon,,,2,idle,,4,idle
d_main_36_08_s_39,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_39,True,,12,angry,,14,idle,,13,1,1.3,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_40,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_40,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_41,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_41,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_42,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_42,True,,12,angry,,14,idle,,1,120,1.3,,anis,,,2,idle,,4,idle
d_main_36_08_s_43,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_43,True,,12,angry,,14,idle,,120,120,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_44,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_44,True,,12,angry,,14,idle,,120,L_20,1.5,,eyeri,,,2,etc,,4,idle
d_main_36_08_s_45,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_45,True,,12,angry,,14,idle,,L_20,L_20,1.0,,eyeri,,,2,shy,,4,idle
d_main_36_08_s_46,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_46,True,,12,angry,,14,idle,,L_20,3,1.5,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_47,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_47,True,,12,angry,,14,idle,,3,3,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_48,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_48,True,,12,angry,,14,idle,,3,3,1.0,,avistar,,,2,idle,,4,good
d_main_36_08_s_49,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_49,True,,12,angry,,14,idle,,S_140,S_140,1.0,,neon,,,2,idle,,4,good
d_main_36_08_s_50,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_50,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,good
d_main_36_08_s_51,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_51,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,good
d_main_36_08_s_52,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_52,True,,12,angry,,14,idle,,1,1,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_53,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_53,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_54,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_54,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_55,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_55,True,,12,angry,,14,idle,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_56,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_56,True,,12,worry,,14,idle,,1,1,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_57,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_57,True,,12,worry,,14,idle,,1,3,1.3,,avistar,,,2,idle,,4,surprise
d_main_36_08_s_58,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_58,True,,12,worry,,14,idle,,3,3,1.0,,avistar,,,2,idle,,4,surprise
d_main_36_08_s_59,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_59,True,,12,worry,,14,idle,,3,3,1.0,,eyeri,,,2,idle,,4,surprise
d_main_36_08_s_60,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_60,True,,12,worry,,14,idle,,3,3,1.0,,eyeri,,,2,idle,,4,surprise
d_main_36_08_s_61,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_61,True,,12,worry,,14,idle,,3,L_40,1.3,,avistar,,,2,idle,,4,surprise
d_main_36_08_s_62,d_main_36_08_s,Narration,avistar,Locale_MainScenario:d_main_36_08_s_62,False,,12,worry,,14,idle,,black,black,1.0,,,,,4,idle,,2,surprise
d_main_36_08_s_63,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_63,True,,12,void,,14,idle,,1,1,1.0,,anis,,,4,idle,,2,surprise
d_main_36_08_s_64,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_64,True,,12,void,,14,idle,,1,1,1.0,,avistar,,,4,idle,,2,idle
d_main_36_08_s_65,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_65,True,,12,void,,14,idle,,1,1,1.0,,avistar,,,4,idle,,2,idle
d_main_36_08_s_66,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_66,True,,12,angry,,14,idle,,1,1,1.0,,anis,,,4,idle,,2,idle
d_main_36_08_s_67,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_67,True,,12,angry,,14,idle,,1,1,1.0,,avistar,,,4,idle,,2,idle
d_main_36_08_s_68,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_68,True,,12,angry,,14,idle,,1,1,1.0,,anis,,,4,idle,,2,idle
d_main_36_08_s_69,d_main_36_08_s,Speech,avistar,Locale_MainScenario:d_main_36_08_s_69,True,,12,angry,,14,idle,,1,1,1.0,,avistar,,,4,idle,,2,idle
d_main_36_08_s_70,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_70,True,,12,idle,,14,idle,,1,1,1.0,,anis,,,4,idle,,2,idle
d_main_36_08_s_71,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_71,True,,12,idle,,14,surprise,,S_140,S_140,1.0,,neon,,,2,idle,,4,idle
d_main_36_08_s_72,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_72,True,,12,idle,,14,surprise,,L_20,L_20,1.0,,eyeri,,,2,shy,,4,idle
d_main_36_08_s_73,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_73,True,,12,idle,,14,surprise,,L_20,L_20,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_74,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_74,True,,12,idle,,14,surprise,,L_20,L_20,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_75,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_75,True,,12,void,,14,surprise,,L_20,1,1.3,,anis,,,2,idle,,4,idle
d_main_36_08_s_76,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_76,True,,12,void,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_77,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_77,True,,12,void,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_78,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_78,True,,12,void,,14,surprise,,S_140,S_140,1.0,,neon,,,2,idle,,4,idle
d_main_36_08_s_79,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_79,True,,12,void,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_80,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_80,True,,12,no,,14,surprise,,1,1,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_81,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_81,True,,12,no,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_82,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_82,True,,12,no,,14,surprise,,1,1,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_83,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_83,True,,12,no,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_84,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_84,True,,12,no,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_85,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_85,True,,12,no,,14,surprise,,1,1,1.0,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_86,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_86,True,,12,idle,,14,surprise,,1,1,1.0,,anis,,,2,idle,,4,idle
d_main_36_08_s_87,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_87,True,,12,idle,,14,surprise,,1,L_20,1.3,,eyeri,,,2,idle,,4,idle
d_main_36_08_s_88,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_88,True,,12,idle,,14,surprise,,L_20,L_20,1.0,,eyeri,,,2,etc,,4,idle
d_main_36_08_s_89,d_main_36_08_s,Speech,neon,Locale_MainScenario:d_main_36_08_s_89,True,,12,idle,,14,idle,,S_140,S_140,1.0,,neon,,,2,etc,,4,idle
d_main_36_08_s_90,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_90,True,,12,idle,,14,idle,,L_20,L_20,1.0,,eyeri,,,2,shy,,4,idle
d_main_36_08_s_91,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_91,True,,12,idle,,14,idle,,L_20,L_20,1.0,,eyeri,,,2,shy,,4,idle
d_main_36_08_s_92,d_main_36_08_s,Speech,eyeri,Locale_MainScenario:d_main_36_08_s_92,True,,12,idle,,14,idle,,L_20,L_20,1.0,,eyeri,,,2,shy,,4,idle
d_main_36_08_s_93,d_main_36_08_s,Speech,anis,Locale_MainScenario:d_main_36_08_s_93,True,,12,no,,14,idle,,L_20,120,1.0,,anis,,,2,shy,,4,idle
