id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_20_09_1,d_main_20_09,Narration,Narration,Locale_MainScenario:d_main_20_09_1,False,Desert_02,17,17,1.0,sfx_scn_distantexplosion,bgm_volcanicnest,Low_2,,,,,,,,,,,,,,,,
d_main_20_09_2,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_2,False,,17,1,0.3,,,,johan,noah,6,idle,harran,4,idle,isabel,2,idle,johan,12,surprise,dorothy,14,idle_alt
d_main_20_09_3,d_main_20_09,Speech,isabel,Locale_MainScenario:d_main_20_09_3,True,,1,1,1.0,,,,isabel,,6,idle,,4,idle,,2,surprise,,12,surprise,,14,idle_alt
d_main_20_09_4,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_4,True,,1,L_120,1.0,,,,johan,,6,idle,,4,idle,,2,surprise,,12,idle,,14,idle_alt
d_main_20_09_5,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_5,True,,L_120,L_120,1.0,,,,johan,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_6,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_6,True,,L_120,L_120,1.0,,,,johan,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_7,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_7,True,,L_120,13,0.5,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,worry_02
d_main_20_09_8,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_8,True,,13,13,1.0,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,worry_02
d_main_20_09_9,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_9,True,,13,13,1.0,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_10,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_10,True,,13,13,1.0,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_11,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_11,True,,13,13,1.0,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_12,d_main_20_09,Speech,dorothy,Locale_MainScenario:d_main_20_09_12,True,,13,13,1.0,,,,dorothy,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_13,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_13,True,,13,13,1.0,,,,johan,,6,idle,,4,idle,,2,idle,,12,think,,14,idle_alt
d_main_20_09_14,d_main_20_09,Speech,harran,Locale_MainScenario:d_main_20_09_14,False,,4,4,1.0,,,,harran,,6,idle,,4,idle,,2,idle,,12,think,,14,idle_alt
d_main_20_09_15,d_main_20_09,Speech,harran,Locale_MainScenario:d_main_20_09_15,True,,4,4,1.0,,,,harran,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_16,d_main_20_09,Speech,harran,Locale_MainScenario:d_main_20_09_16,True,,4,40,2.0,,,,harran,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_17,d_main_20_09,Speech,harran,Locale_MainScenario:d_main_20_09_17,True,,40,40,1.0,,,,harran,,6,idle,,4,special,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_18,d_main_20_09,Speech,johan,Locale_MainScenario:d_main_20_09_18,True,,40,XS_60,1.0,,,,johan,,6,idle,,4,special,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_19,d_main_20_09,Speech,noah,Locale_MainScenario:d_main_20_09_19,True,,XS_60,XS_60,1.0,,,,noah,,6,surprise,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_20,d_main_20_09,Speech,noah,Locale_MainScenario:d_main_20_09_20,True,,XS_60,XS_60,1.0,,,,noah,,6,pain,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_21,d_main_20_09,Speech,noah,Locale_MainScenario:d_main_20_09_21,True,,XS_60,XS_60,1.0,,,,noah,,6,pain,,4,idle,,2,idle,,12,idle,,14,idle_alt
d_main_20_09_22,d_main_20_09,Speech,noah,Locale_MainScenario:d_main_20_09_22,True,,XS_60,XS_60,1.0,,,,noah,,6,pain,,4,idle,,2,idle,,12,idle,,14,idle_alt
