id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id,set_filter_01
d_ex_modernbar_10_01,d_ex_modernbar_10,Narration,Locale_SuddenStory:d_ex_modernbar_10_01,False,Bar,17,17,1.0,sfx_scn_toyshopbell,none,,,,,,,,,,,,,,,,
d_ex_modernbar_10_02,d_ex_modernbar_10,Monologue,Locale_SuddenStory:d_ex_modernbar_10_02,False,,17,17,1.0,,bgm_story_epicjazzymoods,,,,,,,,,,,,,,,,
d_ex_modernbar_10_03,d_ex_modernbar_10,Monologue,Locale_SuddenStory:d_ex_modernbar_10_03,False,,17,17,1.0,,,,,,,,,,,,,,,,,,
d_ex_modernbar_10_04,d_ex_modernbar_10,Self,Locale_SuddenStory:d_ex_modernbar_10_04,False,,17,17,1.0,,,quency_e,3,idle_2,,,,,,,,,,,,,
d_ex_modernbar_10_05,d_ex_modernbar_10,Monologue,Locale_SuddenStory:d_ex_modernbar_10_05,False,,17,3,1.5,,,,3,idle_2,,,,,,,,,,,,,
d_ex_modernbar_10_06,d_ex_modernbar_10,Self,Locale_SuddenStory:d_ex_modernbar_10_06,False,,3,3,1.0,,,,3,idle_2,,,,,,,,,,,,,
d_ex_modernbar_10_07,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_07,True,,3,S_30,0.3,,,,3,surprise_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_08,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_08,True,,S_30,S_30,1.0,,,,3,surprise_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_09,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_09,True,,S_30,S_30,1.0,,,,3,surprise_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_10,d_ex_modernbar_10,Self,Locale_SuddenStory:d_ex_modernbar_10_10,False,,S_30,S_30,1.0,,,,3,surprise_2,quency_e,,,,,,,,,,,,
d_ex_modernbar_10_11,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_11,True,,S_30,S_30,1.0,,,,3,idle_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_12,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_12,True,,S_30,S_30,1.0,,,,3,idle_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_13,d_ex_modernbar_10,Self,Locale_SuddenStory:d_ex_modernbar_10_13,False,,S_30,S_30,1.0,,,,3,idle_2,quency_e,,,,,,,,,,,,
d_ex_modernbar_10_14,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_14,True,,S_30,S_30,1.0,,,,3,delight_2,quency_e,quency_e,,,,,,,,,,,
d_ex_modernbar_10_15,d_ex_modernbar_10,Speech,Locale_SuddenStory:d_ex_modernbar_10_15,True,,S_30,S_30,1.0,,,,3,idle_2,quency_e,quency_e,,,,,,,,,,,
