id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade
d_main_34_af_01_1,d_main_34_af_01,Narration,grave_p,Locale_MainScenario:d_main_34_af_01_1,False,cinderella,5,angry,grave_p,3,idle,rapi_red,1,idle,anis,13,idle,neon,15,idle,CountryVillage_d,L_30,2,1.0,bgm_story_beforethenextstep,,,,,,,,,,,,,
d_main_34_af_01_2,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_2,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_3,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_3,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_4,d_main_34_af_01,Speech,rapi_red,Locale_MainScenario:d_main_34_af_01_4,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,rapi_red,,,,,,,,,,,,
d_main_34_af_01_5,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_5,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_6,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_6,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_7,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_7,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_8,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_8,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_9,d_main_34_af_01,Speech,rapi_red,Locale_MainScenario:d_main_34_af_01_9,False,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,rapi_red,,,,,,,,,,,,
d_main_34_af_01_10,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_10,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,2,L_30,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_11,d_main_34_af_01,Speech,grave_p,Locale_MainScenario:d_main_34_af_01_11,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,L_30,L_30,1.0,,grave_p,,,,,,,,,,,,
d_main_34_af_01_12,d_main_34_af_01,Speech,rapi_red,Locale_MainScenario:d_main_34_af_01_12,True,,5,angry,,3,idle,,1,delight,,13,idle,,15,idle,,L_30,10,1.0,,rapi_red,,,,,,,,,,,,
