id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_26_9_1,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_1,True,GoodOffice,12,12,1.0,bgm_inark,burningum,1,idle,,dorothy,13,idle
d_main_26_9_2,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_2,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_3,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_3,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_4,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_4,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_5,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_5,False,,12,10,1.0,,,1,think,,,13,idle
d_main_26_9_6,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_6,True,,10,10,1.0,,,1,idle,,,13,idle
d_main_26_9_7,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_7,True,,130,130,1.0,,,1,idle,,,13,think
d_main_26_9_8,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_8,True,,10,10,1.0,,,1,idle,,,13,think
d_main_26_9_9,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_9,True,,10,10,1.0,,,1,idle,,,13,think
d_main_26_9_10,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_10,True,,10,10,1.0,,,1,idle,,,13,think
d_main_26_9_11,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_11,True,,130,13,1.0,,,1,idle,,,13,think
d_main_26_9_12,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_12,True,,13,12,1.0,,,1,idle,,,13,think
d_main_26_9_13,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_13,True,,12,12,1.0,none,,1,idle,,,13,think
d_main_26_9_14,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_14,True,,12,12,1.0,,,1,idle,,,13,think
d_main_26_9_15,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_15,True,,12,12,1.0,,,1,idle,,,13,think
d_main_26_9_16,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_16,True,,12,12,1.0,,,1,surprise,,,13,think
d_main_26_9_17,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_17,True,,12,12,1.0,,,1,surprise,,,13,think
d_main_26_9_18,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_18,True,,12,12,1.0,,,1,surprise,,,13,think
d_main_26_9_19,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_19,True,,12,12,1.0,bgm_story_crawlinganxiety,,1,surprise,,,13,think
d_main_26_9_20,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_20,False,,12,10,1.0,,,1,think,,,13,think
d_main_26_9_21,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_21,True,,10,10,1.0,,,1,idle,,,13,think
d_main_26_9_22,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_22,True,,10,10,1.0,,,1,idle,,,13,think
d_main_26_9_23,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_23,True,,10,12,1.0,,,1,idle,,,13,think
d_main_26_9_24,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_24,True,,12,12,1.0,,,1,idle,,,13,think
d_main_26_9_25,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_25,True,,12,12,1.0,,,1,idle,,,13,think
d_main_26_9_26,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_26,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_27,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_27,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_28,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_28,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_29,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_29,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_30,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_30,True,,12,130,1.0,,,1,idle,,,13,idle
d_main_26_9_31,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_31,True,,130,130,1.0,,,1,idle,,,13,idle
d_main_26_9_32,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_32,True,,130,130,1.0,,,1,idle,,,13,idle
d_main_26_9_33,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_33,True,,130,130,1.0,,,1,idle,,,13,idle
d_main_26_9_34,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_34,True,,130,130,1.0,,,1,idle,,,13,idle
d_main_26_9_35,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_35,True,,130,12,1.0,,,1,idle,,,13,idle
d_main_26_9_36,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_36,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_37,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_37,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_38,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_38,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_39,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_39,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_40,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_40,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_41,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_41,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_42,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_42,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_43,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_43,False,,10,10,1.0,,,1,surprise,,,13,idle
d_main_26_9_44,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_44,True,,130,130,1.0,,,1,surprise,,,13,idle
d_main_26_9_45,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_45,True,,10,10,1.0,,,1,surprise,,,13,idle
d_main_26_9_46,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_46,True,,130,130,1.0,,,1,surprise,,,13,smile
d_main_26_9_47,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_47,True,,130,130,1.0,,,1,surprise,,,13,smile
d_main_26_9_48,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_48,True,,10,10,1.0,,,1,idle,,,13,smile
d_main_26_9_49,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_49,True,,130,130,1.0,,,1,idle,,,13,idle
d_main_26_9_50,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_50,True,,130,12,1.0,,,1,idle,,,13,idle
d_main_26_9_51,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_51,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_52,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_52,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_53,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_53,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_54,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_54,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_55,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_55,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_56,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_56,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_57,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_57,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_58,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_58,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_59,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_59,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_60,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_60,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_61,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_61,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_62,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_62,True,,12,12,1.0,,,1,idle,,,13,smile
d_main_26_9_63,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_63,True,,12,12,1.0,,,1,idle,,,13,smile
d_main_26_9_64,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_64,False,,12,12,1.0,,,1,idle,,,13,smile
d_main_26_9_65,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_65,True,,12,12,1.0,,,1,idle,,,13,smile
d_main_26_9_66,d_main_26_09,Speech,burningum,burningum,Locale_MainScenario:d_main_26_9_66,True,,12,12,1.0,,,1,idle,,,13,smile
d_main_26_9_67,d_main_26_09,Speech,dorothy,dorothy,Locale_MainScenario:d_main_26_9_67,True,,12,12,1.0,,,1,idle,,,13,idle
d_main_26_9_68,d_main_26_09,Narration,,,Locale_MainScenario:d_main_26_9_68,False,Corridor,12,16,1.0,none,,1,idle,burningum,,16,idle
