id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_07_06_s_1,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_1,True,IceLand_01,19,1,5.0,bgm_disaster,,,,,,,,,,,,snowwhite,1,idle,,modenia_v,19,angry,,talkative,17,idle,
d_main_07_06_s_2,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_2,True,,1,1,1.0,,,,,,,,,,,,,,1,idle,,,19,angry,,,17,idle,
d_main_07_06_s_3,d_main_07_06_s,Narration,snowwhite,Narration,Locale_MainScenario:d_main_07_06_s_3,True,,1,10,1.0,,sfx_scn_aim,,,,,,,,,,,,1,idle,,,19,angry,,,17,idle,
d_main_07_06_s_4,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_4,True,,10,100,1.0,,,,,,,,,,,,,,1,idle,,,19,angry,modenia_v,,17,idle,
d_main_07_06_s_5,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_5,True,,100,1500,0.5,,,,,,,,,,,,,,1,idle,,modenia_v,15,angry,,,17,idle,
d_main_07_06_s_6,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_6,True,,10,100,0.5,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_7,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_7,True,,15,15,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_8,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_8,True,,15,150,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_9,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_9,True,,150,100,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_10,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_10,True,,100,150,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_11,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_11,True,,150,150,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_12,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_12,True,,150,150,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_13,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_13,True,,150,1500,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_14,d_main_07_06_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07_06_s_14,True,,10,100,0.5,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_15,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_15,True,,15,150,2.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_16,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_16,True,,150,1500,2.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_17,d_main_07_06_s,Narration,modenia_v,Narration,Locale_MainScenario:d_main_07_06_s_17,True,,black,black,1.0,,sfx_scn_snowwhiterifle,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_18,d_main_07_06_s,Monologue,modenia_v,,Locale_MainScenario:d_main_07_06_s_18,True,,black,black,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_19,d_main_07_06_s,Monologue,modenia_v,,Locale_MainScenario:d_main_07_06_s_19,True,,black,black,1.0,,,,,,,,,,,,,,1,angry,,,15,angry,,,17,idle,
d_main_07_06_s_20,d_main_07_06_s,Speech,modenia_v,snowwhite,Locale_MainScenario:d_main_07_06_s_20,True,,10,100,1.0,,,,,,,,,,,,,,1,angry,,,15,surprise,,,17,idle,
d_main_07_06_s_21,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_21,True,,150,1500,1.0,,,,,,,,,,,,,,1,angry,,,15,surprise,,,17,idle,
d_main_07_06_s_22,d_main_07_06_s,Speech,modenia_v,modenia_v,Locale_MainScenario:d_main_07_06_s_22,True,,1500,150,1.0,,,,,,,,,,,,,,1,angry,,,15,idle,,,17,idle,
d_main_07_06_s_23,d_main_07_06_s,Narration,modenia_v,Narration,Locale_MainScenario:d_main_07_06_s_23,True,,black,black,1.0,,sfx_scn_heavyhit,,,,,,,,,,,,1,angry,,,15,idle,,,17,idle,
