id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_25_06_1,d_main_25_06,Self,Locale_MainScenario:d_main_25_06_1,False,CityForest_03,12,12,1.0,bgm_chaser,,,,,,anis,1,void,,neon,13,idle,
d_main_25_06_2,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_2,True,,12,12,1.0,,anis,anis,,,,,1,void,,,13,idle,
d_main_25_06_3,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_3,True,,12,12,1.0,,neon,neon,,,,,1,void,,,13,idle,
d_main_25_06_4,d_main_25_06,Self,Locale_MainScenario:d_main_25_06_4,False,,12,12,1.0,,neon,,,,,,1,void,,,13,idle,
d_main_25_06_5,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_5,True,,12,12,1.0,,anis,anis,,,,,1,worry,,,13,idle,
d_main_25_06_6,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_6,True,,12,12,1.0,,neon,neon,,,,,1,worry,,,13,worry,
d_main_25_06_7,d_main_25_06,Self,Locale_MainScenario:d_main_25_06_7,False,,12,12,1.0,,neon,,,,,,1,worry,,,13,worry,
d_main_25_06_8,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_8,True,,12,12,1.0,,neon,neon,,,,,1,angry,,,13,angry,
d_main_25_06_9,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_9,True,,12,12,1.0,,anis,anis,,,,,1,angry,,,13,angry,
d_main_25_06_10,d_main_25_06,Self,Locale_MainScenario:d_main_25_06_10,False,,12,12,1.0,,anis,,,,,,1,angry,,,13,angry,
d_main_25_06_11,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_11,True,,12,10,1.0,,anis,anis,,,,,1,angry,,,13,angry,
d_main_25_06_12,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_12,True,,10,10,1.0,,anis,anis,,,,,1,angry,,,13,angry,
d_main_25_06_13,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_13,True,,10,10,1.0,,anis,anis,,,,,1,angry,,,13,angry,
d_main_25_06_14,d_main_25_06,Speech,Locale_MainScenario:d_main_25_06_14,True,,10,S_130,1.0,,neon,neon,,,,,1,angry,,,13,no,
d_main_25_06_15,d_main_25_06,Self,Locale_MainScenario:d_main_25_06_15,False,,S_130,S_130,1.0,,neon,,,,,,1,angry,,,13,no,
