id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,conversation_id
d_ex_library_04_1,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_1,False,Library,17,9,2.0,bgm_story_backtonormal,,,,,,,,,,,,,,
d_ex_library_04_2,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_2,False,,9,9,1.0,,,,,,,,,,,,,,,
d_ex_library_04_3,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_3,False,,9,9,1.0,,,,,,,,,,,,,,,
d_ex_library_04_4,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_4,False,,9,9,1.0,,,,,,,,,,,,,,,
d_ex_library_04_5,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_5,False,,9,9,1.0,,sfx_scn_paperopen,,,,,,,,,,,,,
d_ex_library_04_6,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_6,False,,9,9,1.0,,sfx_scn_paperopen,,,,,,,,,,,,,
d_ex_library_04_7,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_7,False,,9,9,1.0,none,sfx_scn_violin,,,,,,,,,,,,,
d_ex_library_04_8,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_8,True,,9,9,1.0,,,unknown,unknown,,,,,,,,,,,
d_ex_library_04_9,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_9,True,,9,9,1.0,,,unknown,unknown,,,,,,,,,,,
d_ex_library_04_10,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_10,False,,9,9,1.0,,sfx_scn_violin,,,,,,,,,,,,,
d_ex_library_04_11,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_11,False,,9,9,1.0,,,,,,,,,,,,,,,
d_ex_library_04_12,d_ex_library_04,Choice,Locale_SuddenStory:d_ex_library_04_12,False,,9,9,1.0,,,,,d_ex_library_04_18,,,,,,,,,,
d_ex_library_04_13,d_ex_library_04,Choice,Locale_SuddenStory:d_ex_library_04_13,False,,9,9,1.0,,,,,d_ex_library_04_14,,,,,,,,,,
d_ex_library_04_14,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_14,False,,9,9,1.0,,sfx_scn_paperopen,,,,,,,,,,,,,
d_ex_library_04_15,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_15,False,,9,9,1.0,,sfx_scn_violin,,,,,,,,,,,,,
d_ex_library_04_16,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_16,True,,9,9,1.0,,,unknown,unknown,,,,,,,,,,,
d_ex_library_04_17,d_ex_library_04,Self,Locale_SuddenStory:d_ex_library_04_17,False,,9,9,1.0,,,,,d_ex_library_04_18,,,,,,,,,,
d_ex_library_04_18,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_18,False,,9,9,1.0,,sfx_scn_violin,,,,,,,,,,,,,
