id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_main_02af_01_1,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_1,True,andersen,1,think,Office,1,10,1.0,bgm_story_fairytalesend_b,,,,
d_main_02af_01_2,d_main_02af_01,Self,andersen,Self,Locale_MainScenario:d_main_02af_01_2,False,,1,think,,10,10,1.0,,,,,
d_main_02af_01_3,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_3,True,,1,angry,,10,1,1.0,,,,,
d_main_02af_01_4,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_4,True,,1,angry,,1,1,1.0,,,,,
d_main_02af_01_5,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_5,True,,1,angry,,1,1,1.0,,,,,
d_main_02af_01_6,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_6,True,,1,angry,,1,1,1.0,,,,,
d_main_02af_01_7,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_7,True,,1,angry,,1,1,1.0,,,,,
d_main_02af_01_8,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_8,True,,1,angry,,1,1,1.0,,,,,
d_main_02af_01_9,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_9,True,,1,angry,,1,10,1.0,,,,,
d_main_02af_01_10,d_main_02af_01,Self,andersen,Self,Locale_MainScenario:d_main_02af_01_10,True,,1,angry,,10,10,1.0,,,,,
d_main_02af_01_11,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_11,True,,1,think,,10,1,1.0,,,,,
d_main_02af_01_12,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_12,True,,1,idle,,1,1,1.0,,,,,
d_main_02af_01_13,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_13,True,,1,idle,,1,1,1.0,,,,,
d_main_02af_01_14,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_14,True,,1,idle,,1,1,1.0,,,,,
d_main_02af_01_15,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_15,True,,1,idle,,1,1,1.0,,,,,
d_main_02af_01_16,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_16,True,,1,delight,,1,1,1.0,,,,,
d_main_02af_01_17,d_main_02af_01,Self,andersen,Self,Locale_MainScenario:d_main_02af_01_17,True,,1,delight,,1,1,1.0,,,,,
d_main_02af_01_18,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_18,True,,1,idle,,1,1,1.0,,,,,
d_main_02af_01_19,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_19,True,,1,idle,,black,black,1.0,,,,,
d_main_02af_01_20,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_20,True,andersen,1,idle,Office,31,31,1.0,none,ingrid,3,idle,black
d_main_02af_01_21,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_21,True,,1,idle,,31,31,1.0,,,3,idle,
d_main_02af_01_22,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_22,True,,1,idle,,31,31,1.0,bgm_story_fairytalesend_if,,3,idle,
d_main_02af_01_23,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_23,True,,1,idle,,31,L_30,1.0,,,3,idle,
d_main_02af_01_24,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_24,True,,1,idle,,L_30,L_300,1.0,,,3,idle,
d_main_02af_01_25,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_25,True,,1,idle,,L_300,L_100,1.0,,,3,idle,
d_main_02af_01_26,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_26,True,,1,idle,,31,31,1.0,,,3,idle,
d_main_02af_01_27,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_27,True,,1,delight,,31,31,1.0,,,3,idle,
d_main_02af_01_28,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_28,True,,1,delight,,31,31,1.0,,,3,idle,
d_main_02af_01_29,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_29,True,,1,idle,,31,L_30,1.0,,,3,idle,
d_main_02af_01_30,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_30,True,,1,angry,,L_30,L_30,1.0,,,3,idle,
d_main_02af_01_31,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_31,True,,1,angry,,L_30,L_30,1.0,,,3,idle,
d_main_02af_01_32,d_main_02af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_02af_01_32,True,,1,angry,,L_30,31,1.0,,,3,idle,
d_main_02af_01_33,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_33,True,,1,angry,,31,L_30,2.0,,,3,think,
d_main_02af_01_34,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_34,True,,1,angry,,L_30,L_300,2.0,,,3,think,
d_main_02af_01_35,d_main_02af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_02af_01_35,True,,1,angry,,black,black,1.0,,,3,think,
