id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target
d_ex_mysteryclub_07_1,d_ex_mysteryclub_07,Narration,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_1,False,mast_m,3,idle,sin_m,1,idle,anchor_m,13,idle,Bar,2,2,1.0,sfx_scn_toyshopbell,bgm_story_breakaway,,
d_ex_mysteryclub_07_2,d_ex_mysteryclub_07,Speech,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_2,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,mast_m,
d_ex_mysteryclub_07_3,d_ex_mysteryclub_07,Speech,sin_m,Locale_SuddenStory:d_ex_mysteryclub_07_3,True,,3,idle,,1,delight,,13,idle,,2,2,1.0,,,sin_m,
d_ex_mysteryclub_07_4,d_ex_mysteryclub_07,Speech,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_4,True,,3,surprise2,,1,delight,,13,idle,,2,2,1.0,,,mast_m,
d_ex_mysteryclub_07_5,d_ex_mysteryclub_07,Speech,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_5,True,,3,surprise2,,1,delight,,13,surprise,,2,12,1.3,,,anchor_m,
d_ex_mysteryclub_07_6,d_ex_mysteryclub_07,Speech,sin_m,Locale_SuddenStory:d_ex_mysteryclub_07_6,True,,3,surprise2,,1,smile,,13,surprise,,12,12,1.0,,,sin_m,
d_ex_mysteryclub_07_7,d_ex_mysteryclub_07,Speech,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_7,True,,3,surprise2,,1,smile,,13,surprise,,12,12,1.0,,,anchor_m,
d_ex_mysteryclub_07_8,d_ex_mysteryclub_07,Speech,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_8,True,,3,surprise2,,1,smile,,13,idle,,12,XS_130,1.3,,,anchor_m,
d_ex_mysteryclub_07_9,d_ex_mysteryclub_07,Speech,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_9,True,,3,idle2,,1,smile,,13,idle,,XS_130,XS_130,1.0,,,anchor_m,
d_ex_mysteryclub_07_10,d_ex_mysteryclub_07,Self,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_10,False,,3,idle2,,1,smile,,13,idle,,XS_130,XS_130,1.0,,,,
d_ex_mysteryclub_07_11,d_ex_mysteryclub_07,Self,anchor_m,Locale_SuddenStory:d_ex_mysteryclub_07_11,False,,3,idle2,,1,smile,,13,idle,,XS_130,XS_130,1.0,,,,
d_ex_mysteryclub_07_12,d_ex_mysteryclub_07,Speech,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_12,True,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,mast_m,
d_ex_mysteryclub_07_13,d_ex_mysteryclub_07,Speech,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_13,True,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,mast_m,
d_ex_mysteryclub_07_14,d_ex_mysteryclub_07,Self,mast_m,Locale_SuddenStory:d_ex_mysteryclub_07_14,False,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,,
d_ex_mysteryclub_07_15,d_ex_mysteryclub_07,Speech,sin_m,Locale_SuddenStory:d_ex_mysteryclub_07_15,True,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,sin_m,
d_ex_mysteryclub_07_16,d_ex_mysteryclub_07,Speech,sin_m,Locale_SuddenStory:d_ex_mysteryclub_07_16,True,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,sin_m,
d_ex_mysteryclub_07_17,d_ex_mysteryclub_07,Self,sin_m,Locale_SuddenStory:d_ex_mysteryclub_07_17,False,,3,idle2,,1,idle,,13,idle,,2,2,1.0,,,,
