id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake,characters/3/hide_char_id,conversation_id
d_main_18af_02_1,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_1,False,Hospital,1,1,1.0,none,,,,,,,,,,,,,,,,,,,
d_main_18af_02_2,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_2,False,,1,10,0.5,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_3,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_4,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_5,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_6,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_6,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_7,d_main_18af_02,Speech,tvvoice_op,tvvoice_op,Locale_MainScenario:d_main_18af_02_7,False,,10,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_18af_02_8,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_8,False,,1,1,1.0,,neon,1,angry,anis,13,angry,rapi,15,idle,,,,,,,,,,
d_main_18af_02_9,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_9,True,,1,1,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_10,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_10,True,,1,S_10,0.5,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_11,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_11,True,,S_10,S_10,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_12,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_12,True,,S_10,S_10,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_13,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_13,True,,S_10,113,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_14,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_14,True,,113,113,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_15,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_15,True,,113,113,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_16,d_main_18af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_02_16,True,,113,15,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_17,d_main_18af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_02_17,True,,15,15,1.0,,,1,angry,,13,angry,,15,idle,,,,,,,,,,
d_main_18af_02_18,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_18,False,,15,113,1.0,,,1,worry,,13,sad,,15,idle,,,,,,,,,,
d_main_18af_02_19,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_19,False,,113,113,1.0,,,1,worry,,13,sad,,15,idle,,,,,,,,,,
d_main_18af_02_20,d_main_18af_02,Narration,,,Locale_MainScenario:d_main_18af_02_20,False,,113,113,1.0,,,1,worry,,13,sad,,15,idle,,,,,,,,,,
d_main_18af_02_21,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_21,True,,113,3,1.0,event_bgm_laplace_main_loop,,1,worry,,13,sad,,15,idle,,,,,,,,,,
d_main_18af_02_22,d_main_18af_02,Monologue,,,Locale_MainScenario:d_main_18af_02_22,False,,3,S_30,0.5,,,1,worry,,13,sad,,15,idle,laplace,3,idle,,,,,,,
d_main_18af_02_23,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_23,True,,130,130,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_24,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_24,True,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_25,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_25,True,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_26,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_26,True,,S_30,S_10,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_27,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_27,True,,S_10,S_10,1.0,,,1,worry,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_28,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_28,True,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_29,d_main_18af_02,Self,,,Locale_MainScenario:d_main_18af_02_29,False,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_30,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_30,True,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_31,d_main_18af_02,Self,,,Locale_MainScenario:d_main_18af_02_31,False,,S_30,S_30,1.0,,,1,idle,,13,angry,,15,idle,,3,idle,,,,,,,
d_main_18af_02_32,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_32,True,,S_30,S_300,0.5,,,1,idle,,13,angry,,15,idle,,3,delight,,,,,,,
d_main_18af_02_33,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_33,True,,S_300,S_300,1.0,,,1,idle,,13,angry,,15,idle,,3,delight,,,,,,,
d_main_18af_02_34,d_main_18af_02,Speech,neon,neon,Locale_MainScenario:d_main_18af_02_34,True,,S_100,S_100,1.0,,,1,no,,13,angry,,15,idle,,3,delight,,,,,,,
d_main_18af_02_35,d_main_18af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_02_35,True,,1500,1500,1.0,,,1,no,,13,angry,,15,idle,,3,delight,,,,,,,
d_main_18af_02_36,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_36,True,,S_30,S_30,1.0,,,1,no,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_37,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_37,True,,S_30,S_30,1.0,,,1,no,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_38,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_38,True,,S_30,S_30,1.0,,,1,no,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_39,d_main_18af_02,Monologue,,,Locale_MainScenario:d_main_18af_02_39,False,,S_30,S_300,0.5,,,1,no,,13,angry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_40,d_main_18af_02,Speech,anis,anis,Locale_MainScenario:d_main_18af_02_40,True,,1300,1300,1.0,,,1,idle,,13,worry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_41,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_41,True,,S_300,S_300,1.0,,,1,idle,,13,worry,,15,idle,,3,sad,,,,,,,
d_main_18af_02_42,d_main_18af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_18af_02_42,True,,S_300,S_30,1.0,,,1,idle,,13,worry,,15,idle,,3,sad,,,,,,,
