id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_hospital_02_1,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_1,True,mary,1,idle,Corridor,XS_30,XS_10,2.0,bgm_story_leisuretime,,,,,,,,
d_ex_hospital_02_2,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_2,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_02_3,d_ex_hospital_02,Self,,,Locale_SuddenStory:d_ex_hospital_02_3,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_02_4,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_4,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_02_5,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_5,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_hospital_02_6,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_6,True,,1,idle,,black,black,1.0,none,pepper,7,shy,,,,,
d_ex_hospital_02_7,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_7,True,,1,idle,,XS_10,XS_10,1.0,,,7,shy,,,,,
d_ex_hospital_02_8,d_ex_hospital_02,Narration,mary,,Locale_SuddenStory:d_ex_hospital_02_8,False,,1,idle,,XS_10,2,1.0,,,3,shy,sfx_scn_run,,,,
d_ex_hospital_02_9,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_9,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_10,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_10,False,,1,idle,,2,XS_10,2.0,,,3,shy,,,,,
d_ex_hospital_02_11,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_11,True,,1,idle,,XS_10,XS_10,1.0,,,3,shy,,,,,
d_ex_hospital_02_12,d_ex_hospital_02,Narration,,,Locale_SuddenStory:d_ex_hospital_02_12,False,,1,idle,,black,black,1.0,bgm_risk,,3,shy,,,,,
d_ex_hospital_02_13,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_13,True,,1,idle,,XS_30,XS_30,1.0,,,3,shy,,,,,
d_ex_hospital_02_14,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_14,True,,1,idle,,XS_30,XS_30,1.0,,,3,shy,,,,,
d_ex_hospital_02_15,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_15,True,,1,idle,,XS_30,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_16,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_16,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_17,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_17,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_18,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_18,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_19,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_19,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_20,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_20,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_21,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_21,True,,1,idle,,2,XS_30,1.0,,,3,shy,,,,,
d_ex_hospital_02_22,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_22,True,,1,idle,,XS_30,XS_10,2.0,,,3,shy,,,,,
d_ex_hospital_02_23,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_23,True,,1,idle,,XS_10,XS_10,1.0,,,3,shy,,,,,
d_ex_hospital_02_24,d_ex_hospital_02,Choice,mary,,Locale_SuddenStory:d_ex_hospital_02_24,False,,1,idle,,XS_10,XS_10,1.0,,,3,shy,,d_ex_hospital_02_26,,,
d_ex_hospital_02_25,d_ex_hospital_02,Choice,mary,,Locale_SuddenStory:d_ex_hospital_02_25,False,,1,idle,,XS_10,XS_10,1.0,,,3,shy,,d_ex_hospital_02_29,,,
