id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_main_24_10_1,d_main_24_10,Narration,Narration,Locale_MainScenario:d_main_24_10_1,False,Hospital,5,1,2.0,bgm_enemyclose,,,,,,,,,,
d_main_24_10_2,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_2,True,,1,1,1.0,,eh,ingrid,2,idle,eh,12,delight,,,
d_main_24_10_3,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_3,True,,1,1,1.0,,ingrid,,2,idle,,12,delight,,,
d_main_24_10_4,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_4,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_5,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_5,True,,1,1,1.0,,ingrid,,2,idle,,12,delight,,,
d_main_24_10_6,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_6,True,,1,1,1.0,,eh,,2,idle,,12,worry,,,
d_main_24_10_7,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_7,True,,1,1,1.0,,ingrid,,2,idle,,12,worry,,,
d_main_24_10_8,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_8,True,,1,1,1.0,,ingrid,,2,idle,,12,worry,,,
d_main_24_10_9,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_9,True,,1,1,1.0,,ingrid,,2,think,,12,worry,,,
d_main_24_10_10,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_10,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_11,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_11,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_12,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_12,True,,1,1,1.0,,ingrid,,2,idle,,12,delight,,,
d_main_24_10_13,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_13,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_14,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_14,False,,1,1,1.0,,ingrid,,2,angry,,12,delight,,,
d_main_24_10_15,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_15,True,,1,120,2.0,,eh,,2,angry,,12,delight,,,
d_main_24_10_16,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_16,True,,120,120,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_17,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_17,True,,120,120,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_18,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_18,True,,120,120,1.0,,eh,,2,idle,,12,sad,,,
d_main_24_10_19,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_19,True,,120,120,1.0,,eh,,2,idle,,12,sad,,,
d_main_24_10_20,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_20,True,,120,120,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_21,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_21,False,,120,1,2.0,,ingrid,,2,idle,,12,delight,,,
d_main_24_10_22,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_22,True,,1,1,1.0,,eh,,2,idle,,12,idle,,,
d_main_24_10_23,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_23,True,,1,1,1.0,,ingrid,,2,idle,,12,idle,,,
d_main_24_10_24,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_24,True,,1,1,1.0,,ingrid,,2,idle,,12,idle,,,
d_main_24_10_25,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_25,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_26,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_26,True,,1,1,1.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_27,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_27,False,,1,120,2.0,,eh,,2,idle,,12,delight,,,
d_main_24_10_28,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_28,True,,120,120,1.0,,eh,,2,idle,,12,worry,,,
d_main_24_10_29,d_main_24_10,Speech,eh,Locale_MainScenario:d_main_24_10_29,True,,120,120,1.0,,eh,,2,idle,,12,worry,,,
d_main_24_10_30,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_30,True,,120,L_20,2.0,,ingrid,,2,think,,12,worry,,,
d_main_24_10_31,d_main_24_10,Speech,ingrid,Locale_MainScenario:d_main_24_10_31,True,,L_20,L_20,1.0,,ingrid,,2,idle,,12,worry,,,
d_main_24_10_32,d_main_24_10,Narration,Narration,Locale_MainScenario:d_main_24_10_32,False,OuterRim,6,2,2.0,none,,,2,idle,,12,worry,ingrid,eh,black
d_main_24_10_33,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_33,False,,2,2,1.0,bgm_manifest,jackal,jackal,2,think,,,,,,
d_main_24_10_34,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_34,True,,2,2,1.0,,jackal,,2,idle,,,,,,
d_main_24_10_35,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_35,True,,2,2,1.0,,jackal,,2,idle,,,,,,
d_main_24_10_36,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_36,False,,2,S_20,2.0,,jackal,,2,think,,,,,,
d_main_24_10_37,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_37,True,,S_20,S_20,1.0,,jackal,,2,no,,,,,,
d_main_24_10_38,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_38,True,,S_20,S_20,1.0,,jackal,,2,no,,,,,,
d_main_24_10_39,d_main_24_10,Speech,viper,Locale_MainScenario:d_main_24_10_39,True,,S_20,S_20,1.0,,viper,,2,no,viper,12,delight,,,
d_main_24_10_40,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_40,False,,S_20,S_20,0.3,,jackal,,2,shy_01,,12,delight,,,
d_main_24_10_41,d_main_24_10,Speech,jackal,Locale_MainScenario:d_main_24_10_41,True,,S_20,1,1.0,,jackal,,2,shy_01,,12,delight,,,
d_main_24_10_42,d_main_24_10,Speech,viper,Locale_MainScenario:d_main_24_10_42,True,,1,1,1.0,,viper,,2,shy_01,,12,idle,,,
