id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_theater_07_1,d_ex_theater_07,Monologue,Locale_SuddenStory:d_ex_theater_07_1,False,Theater,black,black,1.0,bgm_story_backtonormal,,,leona_no,1,idle,timi,13,idle,,,
d_ex_theater_07_2,d_ex_theater_07,Monologue,Locale_SuddenStory:d_ex_theater_07_2,False,,black,black,1.0,,,,,1,idle,,13,idle,,,
d_ex_theater_07_3,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_3,True,,113,113,1.0,,timi,timi,,1,idle,,13,idle,,,
d_ex_theater_07_4,d_ex_theater_07,Monologue,Locale_SuddenStory:d_ex_theater_07_4,False,,113,113,1.0,,,,,1,idle,,13,idle,,,
d_ex_theater_07_5,d_ex_theater_07,Self,Locale_SuddenStory:d_ex_theater_07_5,False,,113,113,1.0,,,,,1,idle,,13,idle,,,
d_ex_theater_07_6,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_6,True,,113,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_7,d_ex_theater_07,Self,Locale_SuddenStory:d_ex_theater_07_7,False,,Leo_10,Leo_10,1.0,,,,,1,idle,,13,idle,,,
d_ex_theater_07_8,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_8,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_9,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_9,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,sad,,13,idle,,,
d_ex_theater_07_10,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_10,True,,Leo_10,Leo_100,1.0,,leona_no,leona_no,,1,sad,,13,idle,,,
d_ex_theater_07_11,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_11,True,,Leo_100,Leo_100,1.0,,leona_no,leona_no,,1,sad,,13,idle,,,
d_ex_theater_07_12,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_12,True,,Leo_100,Leo_100,1.0,,leona_no,leona_no,,1,sad,,13,idle,,,
d_ex_theater_07_13,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_13,True,,Leo_100,Leo_100,1.0,,leona_no,leona_no,,1,sad,,13,idle,,,
d_ex_theater_07_14,d_ex_theater_07,Self,Locale_SuddenStory:d_ex_theater_07_14,False,,Leo_100,Leo_100,1.0,,,,,1,sad,,13,idle,,,
d_ex_theater_07_15,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_15,True,,Leo_100,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_16,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_16,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_17,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_17,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_18,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_18,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_19,d_ex_theater_07,Self,Locale_SuddenStory:d_ex_theater_07_19,False,,Leo_10,Leo_10,1.0,,,,,1,idle,,13,idle,,,
d_ex_theater_07_20,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_20,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_21,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_21,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,,
d_ex_theater_07_22,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_22,True,,Leo_10,S_30,1.0,,julia,julia,,1,idle,,13,idle,julia,3,idle
d_ex_theater_07_23,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_23,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_24,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_24,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_25,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_25,True,,XS_130,XS_130,1.0,,timi,timi,,1,idle,,13,idle,,3,idle
d_ex_theater_07_26,d_ex_theater_07,Self,Locale_SuddenStory:d_ex_theater_07_26,False,,S_30,S_30,1.0,,,,,1,idle,,13,idle,,3,idle
d_ex_theater_07_27,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_27,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_28,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_28,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_29,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_29,True,,S_30,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_30,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_30,True,,31,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_31,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_31,True,,31,113,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_32,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_32,True,,113,113,1.0,,timi,timi,,1,idle,,13,idle,,3,idle
d_ex_theater_07_33,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_33,True,,113,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_34,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_34,True,,31,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_35,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_35,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_36,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_36,True,,S_30,S_30,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_37,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_37,True,,S_30,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_38,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_38,True,,31,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_39,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_39,True,,31,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_40,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_40,True,,31,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_41,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_41,True,,31,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_42,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_42,True,,31,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_43,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_43,True,,31,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_44,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_44,True,,31,31,1.0,,julia,julia,,1,idle,,13,idle,,3,idle
d_ex_theater_07_45,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_45,True,,31,31,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_46,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_46,True,,31,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_47,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_47,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
d_ex_theater_07_48,d_ex_theater_07,Speech,Locale_SuddenStory:d_ex_theater_07_48,True,,Leo_10,Leo_10,1.0,,leona_no,leona_no,,1,idle,,13,idle,,3,idle
