id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,jump_target,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_09_04_1,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_1,True,EventScene_Chap_09_01,9,1,2.0,bgm_emergency,,,,,,,,,,,,,,,,,,,
d_main_09_04_2,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_2,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_09_04_3,d_main_09_04,Speech,rapi_op,rapi_op,Locale_MainScenario:d_main_09_04_3,False,,1,1,1.0,,rapi_op,OP_leftup,angry,,,,,,,,,,,,,,,,
d_main_09_04_4,d_main_09_04,Speech,anis_op,anis_op,Locale_MainScenario:d_main_09_04_4,True,,1,1,1.0,,anis_op,OP_leftup,angry,rapi_op,,,,,,,,,,,,,,,
d_main_09_04_5,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_5,True,,1,1,1.0,,,OP_leftup,angry,,,,,,,,,,,,,,,,
d_main_09_04_6,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_6,True,,1,1,1.0,,,OP_leftup,angry,,,,,,,,,,,,,,,,
d_main_09_04_7,d_main_09_04,Speech,neon_op,neon_op,Locale_MainScenario:d_main_09_04_7,True,,1,1,1.0,,neon_op,OP_leftup,idle,anis_op,,,,,,,,,,,,,,,
d_main_09_04_8,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_8,True,,1,1,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,,,
d_main_09_04_9,d_main_09_04,Speech,neon_op,neon_op,Locale_MainScenario:d_main_09_04_9,True,,1,1,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,,,
d_main_09_04_10,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_10,False,,1,1,1.0,,,OP_leftup,idle,neon_op,,,,,,,,,,,,,,,
d_main_09_04_11,d_main_09_04,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_04_11,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
