id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,play_sound,set_camera_shake
d_main_11_06_s_1,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_1,True,rapi,5,idle,laplace,1,idle,maxwell,3,idle,drake,13,idle,shifty,OP_leftup,idle,Desert_03,5,5,1.0,bgm_blurredvision,,,
d_main_11_06_s_2,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_2,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,5,50,1.0,,,,
d_main_11_06_s_3,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_3,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,50,50,1.0,,,,
d_main_11_06_s_4,d_main_11_06_s,Self,,Self,Locale_MainScenario:d_main_11_06_s_4,False,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,50,50,1.0,,,,
d_main_11_06_s_5,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_5,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,50,50,1.0,,,,
d_main_11_06_s_6,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_6,False,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,black,black,1.0,,shifty,sfx_scn_flare,
d_main_11_06_s_7,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_7,False,,5,idle,,1,idle,,3,idle,,13,idle,,,,,black,black,1.0,,,,
d_main_11_06_s_8,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_8,False,,5,idle,,1,idle,,3,idle,,13,idle,,,,,black,black,1.0,,,,
d_main_11_06_s_9,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_9,False,,5,idle,,1,idle,,3,idle,,13,idle,,,,,black,black,1.0,,,,
d_main_11_06_s_10,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_10,True,,5,idle,,1,idle,,3,idle,,13,idle,,,,,50,5,1.0,,,,
d_main_11_06_s_11,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_11,True,,5,idle,,1,idle,,3,idle,,13,idle,,,,,5,5,1.0,,,,
d_main_11_06_s_12,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_12,True,,5,idle,,1,idle,,3,sad,,13,idle,,,,,5,2,1.0,,,,
d_main_11_06_s_13,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_13,True,,5,idle,,1,idle,,3,sad,,13,idle,,,,,2,2,1.0,,,,
d_main_11_06_s_14,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_14,True,,5,idle,,1,idle,,3,idle,,13,idle,shifty,OP_leftup,idle,,2,2,1.0,,,,
d_main_11_06_s_15,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_15,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,2,2,1.0,,,,
d_main_11_06_s_16,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_16,True,,5,idle,,1,idle,,3,sad,,13,idle,,OP_leftup,idle,,2,2,1.0,,,,
d_main_11_06_s_17,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_17,True,,5,idle,,1,idle,,3,sad,,13,idle,,OP_leftup,idle,,2,4,1.0,,,,
d_main_11_06_s_18,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_18,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_19,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_19,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_20,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_20,True,,5,idle,,1,idle,,3,sad,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_21,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_21,True,,5,idle,,1,idle,,3,sad,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_22,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_22,True,,5,think,,1,idle,,3,sad,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
