id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_08_1,d_ex_police_08,Monologue,Monologue,Locale_SuddenStory:d_ex_police_08_1,False,OutpostOut,black,black,1.0,none,,,,,,,,,,,,
d_ex_police_08_2,d_ex_police_08,Self,Self,Locale_SuddenStory:d_ex_police_08_2,False,,17,17,1.0,bgm_story_orangepop,talos,17,idle,,,,,,,,,
d_ex_police_08_3,d_ex_police_08,Speech,talos,Locale_SuddenStory:d_ex_police_08_3,True,,17,17,1.0,,,17,idle,talos,,,,,,,,
d_ex_police_08_4,d_ex_police_08,Self,Self,Locale_SuddenStory:d_ex_police_08_4,False,,17,17,1.0,,,17,idle,,,,,,,,,
d_ex_police_08_5,d_ex_police_08,Speech,talos,Locale_SuddenStory:d_ex_police_08_5,True,,17,17,1.0,,,17,idle,talos,,,,,,,,
d_ex_police_08_6,d_ex_police_08,Self,Self,Locale_SuddenStory:d_ex_police_08_6,False,,17,17,1.0,,,17,idle,,,,,,,,,
d_ex_police_08_7,d_ex_police_08,Monologue,Monologue,Locale_SuddenStory:d_ex_police_08_7,False,Police,black,black,1.0,none,,17,idle,,talos,,,,,,,
d_ex_police_08_8,d_ex_police_08,Narration,Narration,Locale_SuddenStory:d_ex_police_08_8,False,,17,170,1.0,bgm_story_whosdumber,,,,,,sfx_scn_autodooropen,,,,,,
d_ex_police_08_10,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_10,True,,7,S_70,0.7,,kilo,7,surprise,kilo,,,poli,3,idle,miranda,5,idle
d_ex_police_08_11,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_11,True,,S_50,S_50,1.0,,,7,surprise,miranda,,,,3,idle,,5,idle
d_ex_police_08_12,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_12,True,,S_50,S_50,1.0,,,7,surprise,miranda,,,,3,idle,,5,idle
d_ex_police_08_13,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_13,True,,XS_30,XS_30,1.0,,,7,surprise,poli,,,,3,sad,,5,idle
d_ex_police_08_14,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_14,True,,S_50,S_50,1.0,,,7,surprise,miranda,,,,3,sad,,5,think
d_ex_police_08_15,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_15,True,,S_50,S_50,1.0,,,7,surprise,miranda,,,,3,sad,,5,idle
d_ex_police_08_16,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_16,True,,S_50,6,1.0,,,7,idle,kilo,,,,3,idle,,5,idle
d_ex_police_08_17,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_17,True,,6,6,1.0,,,7,idle,miranda,,,,3,idle,,5,idle
d_ex_police_08_18,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_18,True,,6,6,1.0,,,7,surprise,kilo,,,,3,idle,,5,idle
d_ex_police_08_19,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_19,True,,6,6,1.0,,,7,surprise,kilo,,,,3,idle,,5,idle
d_ex_police_08_20,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_20,True,,6,6,1.0,,,7,surprise,miranda,,,,3,idle,,5,idle
d_ex_police_08_21,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_21,True,,6,6,1.0,,,7,surprise,kilo,,,,3,idle,,5,idle
d_ex_police_08_22,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_22,True,,6,6,1.0,,,7,surprise,miranda,,,,3,idle,,5,idle
d_ex_police_08_23,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_23,True,,6,6,1.0,,,7,surprise,kilo,,,,3,idle,,5,idle
d_ex_police_08_24,d_ex_police_08,Self,kilo,Locale_SuddenStory:d_ex_police_08_24,False,,black,black,1.0,,,7,surprise,,,,,5,idle,,3,idle
d_ex_police_08_25,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_25,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_26,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_26,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_27,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_27,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_28,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_28,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_29,d_ex_police_08,Self,poli,Locale_SuddenStory:d_ex_police_08_29,False,,XS_50,XS_50,1.0,,,7,surprise,,,,,5,idle,,3,idle
d_ex_police_08_30,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_30,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_31,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_31,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,idle,,3,idle
d_ex_police_08_32,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_32,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,sad,,3,idle
d_ex_police_08_33,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_33,True,,XS_50,XS_50,1.0,,,7,surprise,poli,,,,5,sad,,3,idle
d_ex_police_08_34,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_34,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,sad,,3,idle
d_ex_police_08_35,d_ex_police_08,Monologue,poli,Locale_SuddenStory:d_ex_police_08_35,False,,XS_50,XS_50,1.0,,,7,idle,,,,,5,sad,,3,idle
d_ex_police_08_36,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_36,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_37,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_37,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_38,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_38,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_39,d_ex_police_08,Self,poli,Locale_SuddenStory:d_ex_police_08_39,False,,XS_50,XS_50,1.0,,,7,idle,,,,,5,idle,,3,idle
d_ex_police_08_40,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_40,True,,XS_50,4,1.0,,,7,idle,miranda,,,,5,idle,,3,idle
d_ex_police_08_41,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_41,True,,4,4,1.0,,,7,idle,miranda,,,,5,idle,,3,idle
d_ex_police_08_42,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_42,True,,4,4,1.0,,,7,idle,poli,,,,5,angry,,3,idle
d_ex_police_08_43,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_43,True,,4,4,1.0,,,7,idle,miranda,,,,5,angry,,3,think
d_ex_police_08_44,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_44,True,,4,4,1.0,,,7,idle,miranda,,,,5,angry,,3,idle
d_ex_police_08_45,d_ex_police_08,Narration,Narration,Locale_SuddenStory:d_ex_police_08_45,False,,black,black,1.0,,,7,idle,,,sfx_scn_machinestopsudden,,5,idle,,3,idle
d_ex_police_08_46,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_46,True,,S_70,S_70,1.0,,,7,surprise,kilo,,,,5,idle,,3,idle
d_ex_police_08_47,d_ex_police_08,Self,kilo,Locale_SuddenStory:d_ex_police_08_47,False,,S_70,S_70,1.0,,,7,surprise,,,,,5,idle,,3,idle
d_ex_police_08_48,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_48,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_49,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_49,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_50,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_50,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_51,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_51,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_52,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_52,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
