id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1081_1,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_1,True,CityForest_02,3,30,2.0,bgm_story_sunnycarnival,,,rapi,3,idle,anis,1,void,neon,13,idle
d_subquest_1081_2,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_2,True,,30,30,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_3,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_3,True,,30,30,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_4,d_subquest_1081,Self,rapi,Self,Locale_SubScenario:d_subquest_1081_4,False,,30,30,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_5,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_5,True,,30,2,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_6,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_6,True,,2,2,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_7,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_7,True,,2,2,1.0,,,,,3,idle,,1,void,,13,idle
d_subquest_1081_8,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_8,True,,2,12,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_9,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_9,True,,12,12,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_10,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_10,True,,12,12,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_11,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_11,True,,12,S_130,2.0,,,,,3,idle,,1,void,,13,no
d_subquest_1081_12,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_12,True,,S_130,S_130,1.0,,,,,3,idle,,1,void,,13,no
d_subquest_1081_13,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_13,True,,10,10,1.0,,,,,3,idle,,1,no,,13,no
d_subquest_1081_14,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_14,True,,10,2,0.5,,,,,3,idle,,1,no,,13,surprise
d_subquest_1081_15,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_15,True,,2,2,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_16,d_subquest_1081,Choice,anis,,Locale_SubScenario:d_subquest_1081_16,False,,2,2,1.0,,d_subquest_1081_18,,,3,idle,,1,void,,13,surprise
d_subquest_1081_17,d_subquest_1081,Choice,anis,,Locale_SubScenario:d_subquest_1081_17,False,,2,2,1.0,,d_subquest_1081_21,,,3,idle,,1,void,,13,surprise
d_subquest_1081_18,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_18,True,,S_130,S_130,1.0,,,,,3,idle,,1,void,,13,delight
d_subquest_1081_19,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_19,False,,30,30,1.0,,,,,3,idle,,1,void,,13,delight
d_subquest_1081_20,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_20,True,,30,10,1.0,,d_subquest_1081_24,,,3,idle,,1,no,,13,delight
d_subquest_1081_21,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_21,True,,30,30,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_22,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_22,True,,30,10,1.0,,,,,3,idle,,1,worry,,13,surprise
d_subquest_1081_23,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_23,True,,S_130,S_130,1.0,,d_subquest_1081_24,,,3,idle,,1,worry,,13,worry
d_subquest_1081_24,d_subquest_1081,Narration,neon,Narration,Locale_SubScenario:d_subquest_1081_24,True,,555,555,1.0,,,sfx_scn_shutter,,3,idle,,1,void,,13,surprise
d_subquest_1081_25,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_25,False,,30,30,1.0,,,,,3,idle,,1,void,,13,surprise
d_subquest_1081_26,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_26,True,,30,S_130,0.5,,,,,3,idle,,1,void,,13,angry
d_subquest_1081_27,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_27,True,,S_130,10,0.5,,,,,3,idle,,1,angry,,13,angry
d_subquest_1081_28,d_subquest_1081,Self,anis,Self,Locale_SubScenario:d_subquest_1081_28,True,,10,10,1.0,,,,,3,idle,,1,angry,,13,surprise
d_subquest_1081_29,d_subquest_1081,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1081_29,False,,10,2,1.0,,,,,3,idle,,1,angry,,13,surprise
d_subquest_1081_30,d_subquest_1081,Speech,anis,anis,Locale_SubScenario:d_subquest_1081_30,True,,2,2,1.0,,,,,3,idle,,1,worry,,13,surprise
d_subquest_1081_31,d_subquest_1081,Speech,neon,neon,Locale_SubScenario:d_subquest_1081_31,True,,2,12,1.0,,,,,3,idle,,1,worry,,13,worry
d_subquest_1081_32,d_subquest_1081,Monologue,neon,,Locale_SubScenario:d_subquest_1081_32,True,,black,black,1.0,,,,,3,idle,,1,worry,,13,worry
