id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_flowerpark_01_1,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_1,True,FlowerGarden,20,20,1.0,bgm_story_overjoy,,,flora,2,idle,,,,,
d_ex_flowerpark_01_2,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_2,True,,20,20,1.0,,,,,2,idle,,,,,
d_ex_flowerpark_01_3,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_3,False,,20,20,1.0,,,,,2,idle,,,,,
d_ex_flowerpark_01_4,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_4,True,,20,1,1.0,,,,,2,idle,,trina,12,delight,
d_ex_flowerpark_01_5,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_5,True,,1,1,1.0,,,,,2,idle,,,12,delight,
d_ex_flowerpark_01_6,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_6,True,,1,1,1.0,,,,,2,idle,,,12,idle,
d_ex_flowerpark_01_7,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_7,False,,1,1,1.0,,,,,2,idle,,,12,idle,
d_ex_flowerpark_01_8,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_8,False,,1,1,1.0,,,,,2,idle,,,12,idle,
d_ex_flowerpark_01_9,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_9,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_10,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_10,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_11,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_11,False,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_12,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_12,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_13,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_13,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_14,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_14,True,,1,1,1.0,,,,,2,delight,,,12,idle,
