id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/hide_char_id
d_main_25_08_s_1,d_main_25_08_s,Monologue,Locale_MainScenario:d_main_25_08_s_1,False,dorothy,3,think,anis,1,void,neon,13,idle,CityForest_03,15,2,2.0,bgm_chaser_b,,,,,
d_main_25_08_s_2,d_main_25_08_s,Monologue,Locale_MainScenario:d_main_25_08_s_2,False,,3,think,,1,void,,13,idle,,2,2,1.0,,,,,,
d_main_25_08_s_3,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_3,True,,3,think,,1,angry,,13,idle,,2,10,1.0,,anis,anis,,,
d_main_25_08_s_4,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_4,True,,3,think,,1,angry,,13,idle,,30,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_5,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_5,True,,3,think,,1,void,,13,idle,,10,10,1.0,,anis,anis,,,
d_main_25_08_s_6,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_6,True,,3,think,,1,void,,13,surprise,,S_130,S_130,1.0,,neon,neon,,,
d_main_25_08_s_7,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_7,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_8,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_8,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_9,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_9,True,,3,idle,,1,worry,,13,idle,,30,10,1.0,,anis,anis,,,
d_main_25_08_s_10,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_10,True,,3,idle,,1,worry,,13,idle,,10,S_130,1.0,,neon,neon,,,
d_main_25_08_s_11,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_11,False,,3,think,,1,void,,13,idle,,30,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_12,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_12,True,,3,think,,1,void,,13,idle,,300,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_13,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_13,True,,3,think,,1,void,,13,idle,,300,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_14,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_14,True,,3,think,,1,void,,13,idle,,300,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_15,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_15,True,,3,think,,1,void,,13,idle,,12,12,1.0,,neon,neon,,,
d_main_25_08_s_16,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_16,True,,3,think,,1,void,,13,idle,,12,12,1.0,,neon,neon,,,
d_main_25_08_s_17,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_17,True,,3,think,,1,void,,13,idle,,12,12,1.0,,neon,neon,,,
d_main_25_08_s_18,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_18,True,,3,think,,1,worry,,13,idle,,12,12,1.0,,anis,anis,,,
d_main_25_08_s_19,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_19,True,,3,think,,1,worry,,13,idle,,12,12,1.0,,anis,anis,,,
d_main_25_08_s_20,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_20,True,,3,think,,1,void,,13,idle,,12,12,1.0,,neon,neon,,,
d_main_25_08_s_21,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_21,True,,3,think,,1,void,,13,idle,,12,12,1.0,,anis,anis,,,
d_main_25_08_s_22,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_22,False,,3,think,,1,void,,13,idle,,12,10,2.0,,anis,anis,,,
d_main_25_08_s_23,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_23,True,,3,think,,1,void,,13,idle,,10,10,1.0,,anis,anis,,,
d_main_25_08_s_24,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_24,True,,3,idle,,1,void,,13,idle,,10,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_25,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_25,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,dorothy,dorothy,,,
