id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_28_05_e_1,d_main_28_05_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_05_e_1,True,CrystalCity,12,12,1.0,bgm_destroyingcalamity_b,,,,rapi,5,idle,anis,3,void,neon,1,idle,,liveryn,13,worry,,hammering,15,smile,,elegg,17,idle,
d_main_28_05_e_2,d_main_28_05_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_05_e_2,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,idle,,,13,worry,,,15,smile,,,17,idle,
d_main_28_05_e_3,d_main_28_05_e,Speech,neon,neon,Locale_MainScenario:d_main_28_05_e_3,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,idle,,,13,worry,,,15,smile,,,17,idle,
d_main_28_05_e_4,d_main_28_05_e,Speech,neon,neon,Locale_MainScenario:d_main_28_05_e_4,True,White,12,S_10,0.6,,sfx_scn_flashbanglight,Low_2,,,5,idle,,3,void,,1,no,,,13,worry,,,15,smile,,,17,idle,
d_main_28_05_e_5,d_main_28_05_e,Speech,anis,anis,Locale_MainScenario:d_main_28_05_e_5,False,,30,30,1.0,,,,,,5,idle,,3,no,,1,no,,,13,worry,,,15,smile,,,17,idle,
d_main_28_05_e_6,d_main_28_05_e,Speech,neon,neon,Locale_MainScenario:d_main_28_05_e_6,True,CrystalCity,S_10,12,1.0,,,,,,5,idle,,3,no,,1,no,,,13,worry,,,15,smile,,,17,idle,
d_main_28_05_e_7,d_main_28_05_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_05_e_7,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,no,,,13,idle,,,15,smile,,,17,idle,
d_main_28_05_e_8,d_main_28_05_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_05_e_8,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,no,,,13,idle,,,15,smile,,,17,idle,
d_main_28_05_e_9,d_main_28_05_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_05_e_9,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,no,,,13,idle,,,15,smile,,,17,idle,
d_main_28_05_e_10,d_main_28_05_e,Speech,neon,neon,Locale_MainScenario:d_main_28_05_e_10,True,,12,12,1.0,,,,,,5,idle,,3,void,,1,delight,,,13,idle,,,15,smile,,,17,idle,
