id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_camera_shake,characters/6/hide_char_id,characters/4/hide_char_id
d_main_18_06_1,d_main_18_06,Monologue,drake,Locale_MainScenario:d_main_18_06_1,False,drake,1,angry,laplace,13,sad,maxwell,15,sad,WasteLand_03,black,black,1.0,bgm_story_callingsignal,,,,,,,,,,,,,,,,
d_main_18_06_2,d_main_18_06,Speech,drake,Locale_MainScenario:d_main_18_06_2,True,,1,angry,,13,sad,,15,sad,,10,12,2.0,,drake,,,,,,,,,,,,,,,
d_main_18_06_3,d_main_18_06,Speech,laplace,Locale_MainScenario:d_main_18_06_3,True,,1,angry,,13,sad,,15,sad,,12,12,1.0,,laplace,,,,,,,,,,,,,,,
d_main_18_06_4,d_main_18_06,Speech,drake,Locale_MainScenario:d_main_18_06_4,True,,1,angry,,13,sad,,15,sad,,12,12,1.0,,drake,,,,,,,,,,,,,,,
d_main_18_06_5,d_main_18_06,Speech,rapi,Locale_MainScenario:d_main_18_06_5,True,,1,no,,13,sad,,15,sad,,12,4,1.0,,rapi,neon,7,surprise,rapi,5,angry,anis,3,angry,,,,,,
d_main_18_06_6,d_main_18_06,Speech,anis,Locale_MainScenario:d_main_18_06_6,True,,1,no,,13,sad,,15,sad,,4,4,1.0,,anis,,7,idle,,5,angry,,3,angry,,,,,,
d_main_18_06_7,d_main_18_06,Speech,maxwell,Locale_MainScenario:d_main_18_06_7,True,,1,no,,13,sad,,15,angry,,150,150,1.0,,maxwell,,7,idle,,5,idle,,3,void,,,,,,
d_main_18_06_8,d_main_18_06,Self,maxwell,Locale_MainScenario:d_main_18_06_8,False,,1,no,,13,sad,,15,angry,,150,150,1.0,,,,7,idle,,5,idle,,3,void,,,,,,
d_main_18_06_9,d_main_18_06,Speech,maxwell,Locale_MainScenario:d_main_18_06_9,True,,1,no,,13,sad,,15,sad,,150,150,1.0,,maxwell,,7,idle,,5,idle,,3,void,,,,,,
d_main_18_06_10,d_main_18_06,Speech,maxwell,Locale_MainScenario:d_main_18_06_10,True,,1,no,,13,sad,,15,sad,,150,150,1.0,,maxwell,,7,idle,,5,idle,,3,void,,,,,,
