id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/hide_char_id,fade,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/3/hide_char_id,effects/0/stop_effect_id,play_sound
d_main_40_af_01_1,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_1,True,carlson,1,idle,viper,13,idle,eh,3,idle,Theater,L_100,L_100,1.0,bgm_story_empathize,,,,,,,,,,,,,,,,
d_main_40_af_01_2,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_2,True,,1,idle,,13,idle,,3,idle,,L_100,L_10,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_3,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_3,True,,1,idle,,13,idle,,3,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_4,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_4,True,,1,idle,,13,angry,,3,idle,,L_10,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_5,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_5,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_6,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_6,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_7,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_7,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_8,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_8,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_9,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_9,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_10,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_10,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_11,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_11,True,,1,idle,,13,angry,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_12,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_12,True,,1,idle,,13,angry,,3,idle,,L_10,L_100,0.7,,,,,,,,,,,,,,,,,
d_main_40_af_01_13,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_13,True,,1,idle,,13,angry,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_14,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_14,True,,1,idle,,13,angry,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_15,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_15,True,,1,idle,,13,angry,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_16,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_16,True,,1,idle,,13,angry,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_17,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_17,True,,1,idle,,13,idle,,3,idle,,1300,1300,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_18,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_18,True,,1,idle,,13,idle,,3,idle,,L_100,L_10,0.7,,,,,,,,,,,,,,,,,
d_main_40_af_01_19,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_19,True,,1,idle,,13,idle,,3,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_20,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_20,True,,1,idle,,13,idle,,3,idle,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_21,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_21,True,,1,idle,,13,idle,,3,idle,,L_10,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_22,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_22,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_23,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_23,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_24,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_24,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_25,d_main_40_af_01,Speech,eh,eh,Locale_MainScenario:d_main_40_af_01_25,False,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_26,d_main_40_af_01,Speech,eh,eh,Locale_MainScenario:d_main_40_af_01_26,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_27,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_27,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_28,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_28,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_29,d_main_40_af_01,Speech,eh,eh,Locale_MainScenario:d_main_40_af_01_29,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_30,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_30,True,,1,idle,,13,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_31,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_31,True,,1,idle,,13,idle,,3,idle,,L_10,L_100,0.7,,,,,,,,,,,,,,,,,
d_main_40_af_01_32,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_32,True,,1,idle,,13,idle,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_33,d_main_40_af_01,Speech,carlson,carlson,Locale_MainScenario:d_main_40_af_01_33,True,,1,idle,,13,idle,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_34,d_main_40_af_01,Speech,eh,eh,Locale_MainScenario:d_main_40_af_01_34,False,,1,idle,,13,idle,,3,idle,,L_100,L_100,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_35,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_35,True,,1,idle,,13,idle,,3,idle,,L_100,1300,1.0,,,,,,,,,,,,,,,,,
d_main_40_af_01_36,d_main_40_af_01,Speech,viper,viper,Locale_MainScenario:d_main_40_af_01_36,True,,1,idle,,13,idle,,3,idle,,1300,130,1.0,,,,,,,,,,,,,,,,,
