id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_hotel_04_1,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_1,False,NikkeCorridor,9,19,3.0,none,,,,,,,,,,,,
d_ex_hotel_04_2,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_2,False,,19,19,1.0,,,,,,,,,,,,,
d_ex_hotel_04_3,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_3,False,,19,1,1.0,,helm,helm,helm,1,idle,,,,,,,
d_ex_hotel_04_4,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_4,False,,1,1,1.0,,helm,,,1,idle,,,,,,,
d_ex_hotel_04_5,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_5,False,,1,1,1.0,,helm,,,1,idle,,,,,,,
d_ex_hotel_04_6,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_6,True,,1,1,1.0,,helm,helm,,1,idle,,,,,,,
d_ex_hotel_04_7,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_7,False,,1,1,1.0,,helm,,,1,idle,,,,,,,
d_ex_hotel_04_8,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_8,True,,1,1,1.0,,helm,helm,,1,idle,,,,,,,
d_ex_hotel_04_9,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_9,False,,1,1,1.0,,helm,,,1,idle,sfx_scn_rustydooropen,,,,,,
d_ex_hotel_04_10,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_10,False,,1,1,1.0,,helm,,,1,idle,,,,,,,
d_ex_hotel_04_11,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_11,True,GoodOffice,30,300,0.2,,anis,anis,,1,idle,,anis,3,angry,Low_2,,
d_ex_hotel_04_12,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_12,False,,100,100,1.0,,helm,helm,,1,surprise,,,3,angry,,,
d_ex_hotel_04_13,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_13,False,,100,100,1.0,,helm,,,1,surprise,,,3,angry,,,
d_ex_hotel_04_14,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_14,True,,31,31,1.0,,anis,anis,,1,surprise,,,3,angry,,,
d_ex_hotel_04_15,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_15,True,,31,31,1.0,bgm_story_orangepop,helm,helm,,1,surprise,,,3,angry,,,
d_ex_hotel_04_16,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_16,True,,31,3,1.0,,anis,anis,,1,surprise,,,3,worry,,,
d_ex_hotel_04_17,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_17,True,,3,3,1.0,,anis,anis,,1,idle,,,3,worry,,,
d_ex_hotel_04_18,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_18,True,,3,3,1.0,,anis,anis,,1,idle,,,3,worry,,,
d_ex_hotel_04_19,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_19,True,,3,31,1.0,,helm,helm,,1,no,,,3,worry,,,
d_ex_hotel_04_20,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_20,True,,31,31,1.0,,anis,anis,,1,no,,,3,idle,,,
d_ex_hotel_04_21,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_21,False,,31,30,2.0,,anis,anis,,1,idle,,,3,idle,,,
d_ex_hotel_04_22,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_22,False,,30,30,1.0,,anis,,,1,idle,,,3,idle,,,
d_ex_hotel_04_23,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_23,True,,30,30,1.0,,anis,anis,,1,idle,,,3,idle,,,
d_ex_hotel_04_24,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_24,False,,30,30,1.0,,anis,,,1,idle,,,3,idle,,,
d_ex_hotel_04_25,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_25,True,,30,300,0.5,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_26,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_26,True,,10,10,1.0,,helm,helm,,1,no,,,3,angry,,,
d_ex_hotel_04_27,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_27,True,,10,10,1.0,,helm,helm,,1,no,,,3,angry,,,
d_ex_hotel_04_28,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_28,True,,30,30,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_29,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_29,False,,10,10,1.0,,helm,helm,,1,surprise,,,3,angry,,,
d_ex_hotel_04_30,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_30,True,,10,10,1.0,,helm,helm,,1,surprise,,,3,angry,,,
d_ex_hotel_04_31,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_31,True,,10,31,1.0,,helm,helm,,1,no,,,3,angry,,,
d_ex_hotel_04_32,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_32,False,,31,31,1.0,,anis,anis,,1,no,,,3,void,,,
d_ex_hotel_04_33,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_33,True,,31,31,1.0,,helm,helm,,1,idle,,,3,void,,,
d_ex_hotel_04_34,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_34,True,,31,31,1.0,,helm,helm,,1,idle,,,3,void,,,
d_ex_hotel_04_35,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_35,True,,31,31,1.0,,anis,anis,,1,idle,,,3,void,,,
d_ex_hotel_04_36,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_36,False,,31,5,1.0,none,anis,,,1,idle,sfx_scn_shower,,3,void,,,
d_ex_hotel_04_37,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_37,False,,5,5,1.0,,anis,,,1,idle,,,3,void,,,
d_ex_hotel_04_38,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_38,False,,5,5,1.0,,anis,anis,,1,idle,,,3,void,,,
d_ex_hotel_04_39,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_39,False,,5,5,1.0,,helm,helm,,1,idle,,,3,void,,,
d_ex_hotel_04_40,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_40,True,,5,3,1.0,,anis,anis,,1,idle,,,3,void,,,
d_ex_hotel_04_41,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_41,True,,3,5,0.5,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_42,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_42,True,,5,5,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_43,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_43,False,,5,5,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_44,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_44,False,,5,5,1.0,,helm,,,1,idle,sfx_scn_shower,,3,angry,,,
d_ex_hotel_04_45,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_45,True,,5,3,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_46,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_46,False,,3,4,1.0,,anis,,,1,idle,sfx_scn_autodooropen,,3,angry,,,
d_ex_hotel_04_47,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_47,False,,4,4,1.0,,anis,,,1,idle,,,3,angry,,,
d_ex_hotel_04_48,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_48,True,,4,4,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_49,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_49,True,,4,4,1.0,,anis,anis,,1,idle,,,3,void,,,
