id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/5/hide_char_id,play_sound,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_27_05_1,d_main_27_05,Speech,elegg,elegg,Locale_MainScenario:d_main_27_05_1,True,rapi,1,idle,anis,13,idle,neon,15,idle,liveryn,3,idle,elegg,5,idle,hammering,7,idle,CrystalDesert_d,S_50,S_50,1.0,bgm_aztec,,,,,,,,,,,,
d_main_27_05_2,d_main_27_05,Speech,elegg,elegg,Locale_MainScenario:d_main_27_05_2,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,S_50,S_50,1.0,,,,,,,,,,,,,
d_main_27_05_3,d_main_27_05,Speech,hammering,hammering,Locale_MainScenario:d_main_27_05_3,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,S_50,75,1.0,,,,,,,,,,,,,
d_main_27_05_4,d_main_27_05,Speech,elegg,elegg,Locale_MainScenario:d_main_27_05_4,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,,,,,,,,,,,,
d_main_27_05_5,d_main_27_05,Speech,hammering,hammering,Locale_MainScenario:d_main_27_05_5,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,,,,,,,,,,,,
d_main_27_05_6,d_main_27_05,Narration,,,Locale_MainScenario:d_main_27_05_6,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,elegg,hammering,sfx_scn_runaway2,,,,,,,,,
d_main_27_05_7,d_main_27_05,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_05_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,,,,,,,75,3,1.0,,,,,,,,,,,,,
d_main_27_05_8,d_main_27_05,Speech,rapi,rapi,Locale_MainScenario:d_main_27_05_8,True,,1,idle,,13,idle,,15,idle,,3,idle,,,,,,,,3,31,1.0,,,,,,,,,,,,,
d_main_27_05_9,d_main_27_05,Speech,rapi,rapi,Locale_MainScenario:d_main_27_05_9,True,,1,idle,,13,idle,,15,idle,,3,idle,,,,,,,,31,31,1.0,,,,,,,,,,,,,
d_main_27_05_10,d_main_27_05,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_05_10,True,,1,idle,,13,idle,,15,idle,,3,idle,,,,,,,,31,31,1.0,,,,,,,,,,,,,
d_main_27_05_11,d_main_27_05,Speech,neon,neon,Locale_MainScenario:d_main_27_05_11,True,,1,idle,,13,idle,,15,idle,,3,idle,,,,,,,,31,31,1.0,,,,,,,,,,,,,
