id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/2/hide_char_id,set_camera_shake
d_ex_police_01_1,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_1,True,poli,3,idle,miranda,1,idle,Police,2,2,1.0,bgm_story_epicjazzymoods,,,,,,,
d_ex_police_01_2,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_2,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_3,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_3,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_4,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_4,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_5,d_ex_police_01,Monologue,miranda,,Locale_SuddenStory:d_ex_police_01_5,False,,3,idle,,1,idle,,2,S_10,1.0,,,,,,,,
d_ex_police_01_6,d_ex_police_01,Monologue,miranda,,Locale_SuddenStory:d_ex_police_01_6,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_police_01_7,d_ex_police_01,Choice,miranda,,Locale_SuddenStory:d_ex_police_01_7,False,,3,idle,,1,idle,,S_10,S_10,1.0,,d_ex_police_01_9,,,,,,
d_ex_police_01_8,d_ex_police_01,Choice,miranda,,Locale_SuddenStory:d_ex_police_01_8,False,,3,idle,,1,idle,,S_10,S_10,1.0,,d_ex_police_01_15,,,,,,
d_ex_police_01_9,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_9,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_police_01_10,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_10,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_police_01_11,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_11,False,,3,idle,,1,think,,S_10,S_100,1.7,,,,,,,,
d_ex_police_01_12,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_12,True,,3,idle,,1,idle,,S_100,2,0.6,,,,,,,,
d_ex_police_01_13,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_13,True,,3,surprise,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_14,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_14,True,,3,surprise,,1,idle,,2,2,1.0,,d_ex_police_01_19,,,,,,
d_ex_police_01_15,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_15,True,,3,angry,,1,idle,,S_10,2,1.0,,,,,,,,
d_ex_police_01_16,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_16,True,,3,angry,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_17,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_17,True,,3,angry,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_18,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_18,False,,3,angry,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_19,d_ex_police_01,Speech,poli,poli,Locale_SuddenStory:d_ex_police_01_19,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,
d_ex_police_01_20,d_ex_police_01,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_01_20,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,
