id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_37_08_e_1,d_main_37_08_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_08_e_1,True,EggArea,10,10,1.0,bgm_chapter37_field_swarmnest,,rapi_red,1,idle,leviathan,13,pain,,ziz,15,sad,,maxwell_op,OP_leftup,idle_02,
d_main_37_08_e_2,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_2,True,,10,10,1.0,,,,1,idle,,13,pain,,,15,sad,,,OP_leftup,idle_02,
d_main_37_08_e_3,d_main_37_08_e,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_08_e_3,True,,10,10,1.0,,,,1,idle,,13,pain,,,15,sad,,,OP_leftup,idle_02,
d_main_37_08_e_4,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_4,True,,10,10,1.0,,,,1,idle,,13,pain,,,15,sad,,,OP_leftup,idle_02,
d_main_37_08_e_5,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_5,True,,10,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,OP_leftup,idle_02,maxwell_op
d_main_37_08_e_6,d_main_37_08_e,Speech,ziz,ziz,Locale_MainScenario:d_main_37_08_e_6,True,,14,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_7,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_7,True,,14,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_8,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_8,True,,14,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_9,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_9,True,,14,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_10,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_10,False,,14,14,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_11,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_11,True,,14,14,1.0,,,,1,idle,,13,think_02,,,15,sad,,,,,
d_main_37_08_e_12,d_main_37_08_e,Speech,ziz,ziz,Locale_MainScenario:d_main_37_08_e_12,True,,14,14,1.0,,,,1,idle,,13,think_02,,,15,surprise,,,,,
d_main_37_08_e_13,d_main_37_08_e,Speech,ziz,ziz,Locale_MainScenario:d_main_37_08_e_13,True,,14,14,1.0,,,,1,idle,,13,think_02,,,15,surprise,,,,,
d_main_37_08_e_14,d_main_37_08_e,Speech,ziz,ziz,Locale_MainScenario:d_main_37_08_e_14,True,,14,14,1.0,,,,1,idle,,13,think_02,,,15,surprise,,,,,
d_main_37_08_e_15,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_15,True,,14,14,1.0,,,,1,idle,,13,no,,,15,surprise,,,,,
d_main_37_08_e_16,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_16,True,,14,14,1.0,,,,1,idle,,13,no,,,15,surprise,,,,,
d_main_37_08_e_17,d_main_37_08_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_37_08_e_17,True,,14,14,1.0,,,,1,idle,,13,pain,,,15,surprise,,,,,
d_main_37_08_e_18,d_main_37_08_e,Speech,ziz,ziz,Locale_MainScenario:d_main_37_08_e_18,False,,14,S_150,1.0,,,,1,idle,,13,pain,,,15,sad,,,,,
d_main_37_08_e_19,d_main_37_08_e,Monologue,ziz,,Locale_MainScenario:d_main_37_08_e_19,False,,black,black,1.0,,,,1,idle,,13,pain,leviathan,,15,sad,ziz,,,,
d_main_37_08_e_20,d_main_37_08_e,Monologue,ziz,,Locale_MainScenario:d_main_37_08_e_20,False,,black,black,1.0,,,,1,idle,,,,,,,,,,,,
d_main_37_08_e_21,d_main_37_08_e,Monologue,ziz,,Locale_MainScenario:d_main_37_08_e_21,False,,black,black,1.0,,,,1,idle,,,,,,,,,,,,
d_main_37_08_e_22,d_main_37_08_e,Monologue,ziz,,Locale_MainScenario:d_main_37_08_e_22,False,,black,black,1.0,,,,1,idle,laplace,5,no,,drake,3,angry,,,,,
d_main_37_08_e_23,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_23,False,,1,1,1.0,,,,1,idle,,5,no,,,3,angry,,,,,
d_main_37_08_e_24,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_24,True,,1,10,0.7,,,,1,angry,,5,no,,,3,angry,,,,,
d_main_37_08_e_25,d_main_37_08_e,Monologue,rapi_red,,Locale_MainScenario:d_main_37_08_e_25,False,,10,10,1.0,,,,1,angry,,5,no,,,3,angry,,,,,
d_main_37_08_e_26,d_main_37_08_e,Monologue,rapi_red,,Locale_MainScenario:d_main_37_08_e_26,False,,10,10,1.0,,,,1,angry,,5,no,,,3,angry,,,,,
d_main_37_08_e_27,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_27,True,,10,10,1.0,,,,1,worry,,5,no,,,3,angry,,,,,
d_main_37_08_e_28,d_main_37_08_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_08_e_28,True,,10,10,1.0,,,,1,worry,,5,no,,,3,angry,,,,,
