id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_34_02_1,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_1,False,BlackPuddle,20,20,1.0,bgm_story_monochrome,,,anis,4,void,rapi,2,think,neon,12,idle,,,,
d_main_34_02_2,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_2,False,,20,20,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_3,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_3,False,,20,20,1.0,,,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_4,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_4,True,,20,20,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_5,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_5,True,,40,40,1.0,,anis,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_6,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_6,True,,S_120,S_120,1.0,,neon,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_7,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_7,True,,20,20,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_8,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_8,True,,40,40,1.0,,anis,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_9,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_9,True,,S_120,S_120,1.0,,neon,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_10,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_10,True,,20,20,1.0,,rapi,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_11,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_11,False,,20,20,1.0,,,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_12,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_12,False,,20,20,1.0,,rapi,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_13,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_13,False,,20,40,1.5,,anis,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_14,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_14,True,,40,40,1.0,,anis,,,4,sad,,2,think,,12,idle,,,,
d_main_34_02_15,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_15,True,,40,40,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_16,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_16,True,,40,400,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_17,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_17,True,,400,200,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_18,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_18,True,,200,200,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_19,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_19,True,,200,20,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_20,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_20,True,,20,3,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_21,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_21,True,,3,3,1.0,,rapi,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_22,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_22,True,,3,3,1.0,,anis,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_23,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_23,True,,3,3,1.0,,rapi,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_24,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_24,True,,3,3,1.0,,rapi,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_25,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_25,False,,3,3,1.0,,anis,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_26,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_26,True,,3,3,1.0,,anis,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_27,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_27,True,,3,3,1.0,,anis,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_28,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_28,True,,3,20,1.0,,rapi,,,4,angry,,2,worry,,12,idle,,,,
d_main_34_02_29,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_29,True,,20,40,1.0,,anis,,,4,angry,,2,worry,,12,idle,,,,
d_main_34_02_30,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_30,True,,40,40,1.0,,anis,,,4,angry,,2,worry,,12,idle,,,,
d_main_34_02_31,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_31,True,,40,400,1.0,,anis,,,4,angry,,2,worry,,12,idle,,,,
d_main_34_02_32,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_32,True,,400,40,0.5,,anis,,,4,angry,,2,worry,,12,idle,,,,
d_main_34_02_33,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_33,True,,40,20,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_34,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_34,True,,20,3,0.5,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_35,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_35,True,,3,3,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_36,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_36,True,,3,3,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_37,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_37,True,,3,3,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_38,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_38,True,,3,3,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_39,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_39,True,,3,3,1.0,,anis,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_40,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_40,True,,3,3,1.0,,rapi,,,4,angry,,2,think,,12,idle,,,,
d_main_34_02_41,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_41,True,,3,3,1.0,,rapi,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_42,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_42,True,,3,1,1.0,,neon,,,4,angry,,2,idle,,12,worry,,,,
d_main_34_02_43,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_43,False,,1,1,1.0,,,,,4,angry,,2,idle,,12,worry,,,,
d_main_34_02_44,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_44,True,,1,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_45,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_45,False,,20,20,1.0,,,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_46,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_46,True,,20,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_47,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_47,True,,20,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_48,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_48,False,,20,20,1.0,,,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_49,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_49,False,,20,20,1.0,,,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_50,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_50,False,,20,20,1.0,,,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_51,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_51,False,,20,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_52,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_52,True,,20,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_53,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_53,False,,20,20,1.0,,,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_54,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_54,True,,20,20,1.0,,rapi,,,4,angry,,2,think,,12,worry,,,,
d_main_34_02_55,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_55,True,,20,200,1.0,,rapi,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_56,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_56,False,,200,200,1.0,,,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_57,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_57,False,,200,200,1.0,,,,,4,void,,2,think,,12,worry,,,,
d_main_34_02_58,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_58,False,,200,20,1.0,,rapi,,,4,void,,2,idle,,12,worry,,,,
d_main_34_02_59,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_59,True,,20,40,1.0,,anis,,,4,void,,2,idle,,12,worry,,,,
d_main_34_02_60,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_60,True,,40,40,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_61,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_61,False,,S_120,S_120,1.0,,neon,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_62,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_62,False,,S_120,20,1.0,,,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_63,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_63,False,,20,20,1.0,,,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_64,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_64,False,,20,2,1.0,,rapi,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_65,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_65,False,,2,2,1.0,,,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_66,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_66,False,,2,2,1.0,,rapi,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_67,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_67,True,,2,20,1.0,,rapi,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_68,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_68,True,,20,40,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_69,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_69,True,,40,40,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_70,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_70,True,,40,40,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_71,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_71,True,,40,4,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_72,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_72,True,,4,1,1.0,,neon,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_73,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_73,True,,1,1,1.0,,neon,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_74,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_74,True,,1,1,1.0,,neon,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_75,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_75,True,,1,1,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_76,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_76,True,,1,1,1.0,,neon,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_77,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_77,False,,1,2,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
d_main_34_02_78,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_78,False,,2,2,1.0,,eunhwa_t,,,4,void,,2,think,,12,idle,eunhwa_t,14,idle,
