id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_39_05_1,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_1,True,maxwell_p,1,worry,rapi_red,13,idle,laplace_p,3,idle,drake_p,5,surprise,RaptilionFarm,113,113,1.0,bgm_chapter39_field_gliding,,,,,,,,
d_main_39_05_2,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_2,True,,1,worry,,13,idle,,3,idle,,5,surprise,,113,113,1.0,,,,,,,,,
d_main_39_05_3,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_3,True,,1,worry,,13,idle,,3,idle,,5,surprise,,113,113,1.0,,,,,,,,,
d_main_39_05_4,d_main_39_05,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_05_4,False,,1,worry,,13,idle,,3,special_02,,5,surprise,,113,53,2.0,,,,,,,,,
d_main_39_05_5,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_5,False,,1,worry,,13,idle,,3,special_02,,5,surprise,,53,53,1.0,,,,,,,,,
d_main_39_05_6,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_6,True,,1,worry,,13,idle,,3,special_02,,5,surprise,,L_100,L_100,1.0,,,,,,,,,
d_main_39_05_7,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_7,True,,1,worry,,13,idle,,3,special_02,,5,surprise,,L_100,L_100,1.0,,,,,,,,,
d_main_39_05_8,d_main_39_05,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_05_8,False,,1,worry,,13,idle,,3,special_02,,5,surprise,,L_100,S_300,1.0,,,,,,,,,
d_main_39_05_9,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_9,False,,1,worry,,13,idle,,3,special_02,,5,surprise,,S_300,L_500,1.0,,,,,,,,,
d_main_39_05_10,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_10,True,,1,pain,,13,idle,,3,special_02,,5,surprise,,L_100,L_10,0.7,,,,,,,,,
d_main_39_05_11,d_main_39_05,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_05_11,True,,1,pain,,13,idle,,3,pain_02,,5,surprise,,L_10,S_30,1.0,,,,,,,,,
d_main_39_05_12,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_12,True,,1,pain,,13,idle,,3,pain_02,,5,pain,,S_30,L_50,1.0,,,,,,,,,
d_main_39_05_13,d_main_39_05,Speech,drake_p,maxwell_p,Locale_MainScenario:d_main_39_05_13,False,,1,sad,,13,idle,,3,pain_02,,5,pain,,L_50,53,1.0,,,,,,,,,
d_main_39_05_14,d_main_39_05,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_05_14,True,,1,sad,,13,idle,,3,surprise_02,,5,pain,,53,53,1.0,,,,,,,,,
d_main_39_05_15,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_15,True,,1,sad,,13,idle,,3,surprise_02,,5,idle,,53,53,1.0,,,,,,,,,
d_main_39_05_16,d_main_39_05,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_05_16,True,,1,sad,,13,idle,,3,sad_02,,5,idle,,53,53,1.0,,,,,,,,,
d_main_39_05_17,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_17,True,,1,sad,,13,idle,,3,sad_02,,5,delight,,53,53,1.0,,,,,,,,,
d_main_39_05_18,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_18,True,,1,sad,,13,idle,,3,sad_02,,5,delight,,53,53,1.0,,,,,,,,,
d_main_39_05_19,d_main_39_05,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_05_19,True,,1,sad,,13,idle,,3,sad_02,,5,pain,,L_50,L_500,0.5,,,,,,,,,
d_main_39_05_20,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_20,True,,1,worry,,13,idle,,3,sad_02,,5,pain,,L_100,L_100,1.0,,,,,,,,,
d_main_39_05_21,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_21,True,,1,worry,,13,idle,,3,sad_02,,5,pain,,L_100,1300,1.0,,,,,,,,,
d_main_39_05_22,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_22,True,,1,worry,,13,idle,,3,sad_02,,5,pain,,1300,1300,1.0,,,,,,,,,
d_main_39_05_23,d_main_39_05,Self,rapi_red,,Locale_MainScenario:d_main_39_05_23,False,,1,worry,,13,idle,,3,idle,,5,pain,,1300,1300,1.0,,,,,,,,,
d_main_39_05_24,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_24,True,,1,worry,,13,idle,,3,idle,,5,idle,,1300,130,1.0,,,,,,,,,
d_main_39_05_25,d_main_39_05,Self,rapi_red,,Locale_MainScenario:d_main_39_05_25,False,,1,worry,,13,idle,,3,idle,,5,idle,,130,130,1.0,,,,,,,,,
d_main_39_05_26,d_main_39_05,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_05_26,True,,1,worry,,13,idle,,3,idle,,5,idle,,130,113,1.0,,,,,,,,,
d_main_39_05_27,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_27,True,,1,worry,,13,idle,,3,idle,,5,idle,,113,113,1.0,,,,,,,,,
d_main_39_05_28,d_main_39_05,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_05_28,True,,1,worry,,13,idle,,3,idle,,5,idle,,113,113,1.0,,,,,,,,,
