id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id
d_main_22_02_e_1,d_main_22_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_02_e_1,True,rapi,1,idle,anis,13,worry,neon,15,idle,poli,3,sad,miranda,5,idle,DestroyedStreet,1,1,1.0,bgm_collapse,
d_main_22_02_e_2,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_2,True,,1,idle,,13,worry,,15,idle,,3,sad,,5,idle,,1,113,1.0,,
d_main_22_02_e_3,d_main_22_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_02_e_3,True,,1,idle,,13,worry,,15,idle,,3,sad,,5,idle,,113,113,1.0,,
d_main_22_02_e_4,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_4,True,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle,,113,53,1.0,,
d_main_22_02_e_5,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_5,True,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle,,53,53,1.0,,
d_main_22_02_e_6,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_6,True,,1,idle,,13,worry,,15,idle,,3,angry,,5,think,,53,53,1.0,,
d_main_22_02_e_7,d_main_22_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_02_e_7,True,,1,idle,,13,worry,,15,idle,,3,angry,,5,think,,53,1,2.0,,
d_main_22_02_e_8,d_main_22_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_22_02_e_8,False,,1,idle,,13,worry,,15,idle,,3,angry,,5,idle,,1,1,1.0,,
d_main_22_02_e_9,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_9,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,1,13,1.0,,
d_main_22_02_e_10,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_10,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,13,13,1.0,,
d_main_22_02_e_11,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_11,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,13,13,1.0,,
d_main_22_02_e_12,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_12,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,13,53,1.0,,
d_main_22_02_e_13,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_13,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_14,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_14,False,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_15,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_15,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_16,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_16,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_17,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_17,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_18,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_18,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_19,d_main_22_02_e,Speech,neon,neon,Locale_MainScenario:d_main_22_02_e_19,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,53,1315,2.0,,
d_main_22_02_e_20,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_20,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,1315,1315,1.0,,
d_main_22_02_e_21,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_21,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_22,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_22,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_23,d_main_22_02_e,Speech,miranda,miranda,Locale_MainScenario:d_main_22_02_e_23,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,53,53,1.0,,
d_main_22_02_e_24,d_main_22_02_e,Monologue,,,Locale_MainScenario:d_main_22_02_e_24,False,,1,idle,,5,worry,,15,idle,,3,idle,,5,idle,,black,black,1.0,,miranda
d_main_22_02_e_25,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_25,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,53,1.0,,
d_main_22_02_e_26,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_26,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,53,1.0,,
d_main_22_02_e_27,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_27,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,53,1.0,,
d_main_22_02_e_28,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_28,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,53,1.0,,
d_main_22_02_e_29,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_29,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,53,1.0,,
d_main_22_02_e_30,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_30,True,,1,idle,,5,worry,,15,idle,,3,idle,,,,,53,50,2.0,,
d_main_22_02_e_31,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_31,False,,1,idle,,5,worry,,15,idle,,3,sad,,,,,50,XS_30,2.0,,
d_main_22_02_e_32,d_main_22_02_e,Speech,anis,anis,Locale_MainScenario:d_main_22_02_e_32,True,,1,idle,,5,worry,,15,idle,,3,sad,,,,,XS_30,50,2.0,,
d_main_22_02_e_33,d_main_22_02_e,Speech,poli,poli,Locale_MainScenario:d_main_22_02_e_33,False,,1,idle,,5,worry,,,,,,sad,,,,,50,XS_30,2.0,,
