id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/hide_char_id
d_ex_hotel_09_1,d_ex_hotel_09,Monologue,Locale_SuddenStory:d_ex_hotel_09_1,False,CommanderRoom,1,1,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_ex_hotel_09_2,d_ex_hotel_09,Monologue,Locale_SuddenStory:d_ex_hotel_09_2,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_09_3,d_ex_hotel_09,Monologue,Locale_SuddenStory:d_ex_hotel_09_3,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_hotel_09_4,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_4,True,,1,XS_10,1.0,,alice_b,alice_b,alice_b,1,delight,,,,,,,
d_ex_hotel_09_5,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_5,True,,XS_10,XS_10,1.0,,alice_b,alice_b,,1,delight,,,,,,,
d_ex_hotel_09_6,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_6,True,,XS_10,XS_10,1.0,,alice_b,alice_b,,1,delight,,,,,,,
d_ex_hotel_09_7,d_ex_hotel_09,Monologue,Locale_SuddenStory:d_ex_hotel_09_7,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,
d_ex_hotel_09_8,d_ex_hotel_09,Self,Locale_SuddenStory:d_ex_hotel_09_8,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,
d_ex_hotel_09_9,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_9,True,,XS_10,XS_100,1.0,,alice_b,alice_b,,1,idle,,,,,,,
d_ex_hotel_09_10,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_10,True,,XS_100,XS_100,1.0,,alice_b,alice_b,,1,idle,,,,,,,
d_ex_hotel_09_11,d_ex_hotel_09,Self,Locale_SuddenStory:d_ex_hotel_09_11,False,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,
d_ex_hotel_09_12,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_12,True,,XS_100,XS_100,1.0,,alice_b,alice_b,,1,delight,,,,,,,
d_ex_hotel_09_13,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_13,True,,XS_100,XS_100,1.0,,alice_b,alice_b,,1,delight,,,,,,,
d_ex_hotel_09_14,d_ex_hotel_09,Speech,Locale_SuddenStory:d_ex_hotel_09_14,True,,XS_100,XS_100,1.0,,alice_b,alice_b,,1,delight,,,,,,,
