id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade
d_main_19_07_1,d_main_19_07,Narration,Narration,Locale_MainScenario:d_main_19_07_1,False,WasteLand_02_n,1,1,1.0,sfx_scn_crow1,bgm_story_exiter,,,,,,
d_main_19_07_2,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_2,True,,1,1,1.0,,,harran,harran,1,idle,,
d_main_19_07_3,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_3,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_4,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_4,False,,1,1,1.0,,,,,1,idle,,
d_main_19_07_5,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_5,True,,1,1,2.0,,,harran,,1,special,,
d_main_19_07_6,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_6,True,,1,1,1.0,,,harran,,1,special,,
d_main_19_07_7,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_7,True,,1,1,1.0,,,harran,,1,special,,
d_main_19_07_8,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_8,False,,1,1,1.0,,,,,1,idle,,
d_main_19_07_9,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_9,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_10,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_10,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_11,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_11,True,EventScene_Chap_19_01,inherit_05,inherit_01,2.0,,,harran,,1,idle,harran,black
d_main_19_07_12,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_12,True,,inherit_01,inherit_01,1.0,,,harran,,,,,
d_main_19_07_13,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_13,True,,inherit_01,inherit_01,1.0,,,harran,,,,,
d_main_19_07_14,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_14,True,WasteLand_02_n,1,1,1.0,,,harran,harran,1,idle,,
d_main_19_07_15,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_15,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_16,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_16,False,,1,1,1.0,,,,,1,idle,,
d_main_19_07_17,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_17,True,,1,10,2.0,,,harran,,1,special,,
d_main_19_07_18,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_18,True,,10,10,1.0,,,harran,,1,special,,
d_main_19_07_19,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_19,True,,10,10,1.0,,,harran,,1,idle,,
d_main_19_07_20,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_20,True,Grassland,19,1,3.0,,,harran,,1,idle,harran,black
d_main_19_07_21,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_21,True,,1,1,1.0,,,harran,,,,,
d_main_19_07_22,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_22,True,,1,1,1.0,,,harran,,,,,
d_main_19_07_23,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_23,True,FlowerGarden,1,1,1.0,,,harran,,,,,
d_main_19_07_24,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_24,True,,1,1,1.0,,,harran,,,,,
d_main_19_07_25,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_25,False,WasteLand_02_n,1,1,1.0,,,harran,harran,1,idle,,black
d_main_19_07_26,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_26,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_27,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_27,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_28,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_28,True,,1,1,1.0,,,harran,,1,idle,,
d_main_19_07_29,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_29,True,,1,10,1.0,,,harran,,1,idle,,
d_main_19_07_30,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_30,True,,10,10,1.0,,,harran,,1,idle,,
d_main_19_07_31,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_31,True,,10,10,1.0,,,harran,,1,idle,,
d_main_19_07_32,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_32,False,,10,10,1.0,,,,,1,idle,,
d_main_19_07_33,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_33,False,,10,10,1.0,,,,,1,idle,,
d_main_19_07_34,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_34,True,,10,10,1.0,,,harran,,1,idle,,
d_main_19_07_35,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_35,True,,10,10,1.0,,,harran,,1,idle,,
d_main_19_07_36,d_main_19_07,Self,Self,Locale_MainScenario:d_main_19_07_36,False,,10,10,1.0,,,,,1,idle,,
d_main_19_07_37,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_37,False,,10,10,1.0,,,harran,,1,rage,,
d_main_19_07_38,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_38,True,,10,1,2.0,,,harran,,1,shy,,
d_main_19_07_39,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_39,True,,1,1,1.0,,,harran,,1,shy,,
d_main_19_07_40,d_main_19_07,Speech,harran,Locale_MainScenario:d_main_19_07_40,True,,1,1,1.0,,,harran,,1,shy,,
