id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/4/hide_char_id
d_subquest_1194_e_1,d_subquest_1194_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_e_1,True,rapi,4,idle,neon,8,idle,anis,6,idle,liter,12,idle,voltjr,2,idle,centi,14,delight,Desert_03,2,6018,0.3,bgm_inark,,,
d_subquest_1194_e_2,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_2,False,,4,idle,,8,idle,,6,idle,,12,idle,,2,idle,,14,idle,,60,60,1.0,,,,
d_subquest_1194_e_3,d_subquest_1194_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1194_e_3,False,,4,idle,,8,surprise,,6,idle,,12,idle,,2,idle,,14,idle,,S_80,S_80,1.0,,,,
d_subquest_1194_e_4,d_subquest_1194_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1194_e_4,False,,4,worry,,8,surprise,,6,idle,,12,idle,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1194_e_5,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_5,True,,4,worry,,8,surprise,,6,no,,12,idle,,2,idle,,14,idle,,7,7,0.3,,,,
d_subquest_1194_e_6,d_subquest_1194_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1194_e_6,True,,4,worry,,8,worry,,6,no,,12,idle,,2,idle,,14,idle,,7,7,1.0,,,,
d_subquest_1194_e_7,d_subquest_1194_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1194_e_7,True,,4,worry,,8,worry,,6,idle,,12,idle,,2,idle,,14,idle,,7,5,1.0,,,,
d_subquest_1194_e_8,d_subquest_1194_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_e_8,True,,4,worry,,8,idle,,6,idle,,12,idle,,2,idle,,14,idle,,L_140,L_140,1.0,,,,
d_subquest_1194_e_9,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_9,True,,4,worry,,8,idle,,6,angry,,12,idle,,2,idle,,14,idle,,L_140,L_140,1.0,,Low_2,,
d_subquest_1194_e_10,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_10,True,,4,idle,,8,idle,,6,idle,,12,no,,2,idle,,14,idle,,L_140,XS_120,2.0,,,,
