id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_15af_02_1,d_main_15af_02,Speech,adultwoman,announcer,Locale_MainScenario:d_main_15af_02_1,True,Stage,70,70,1.0,bgm_story_onlineshopping,,,,adultwoman,7,idle,,,,,,,,,,,,,
d_main_15af_02_2,d_main_15af_02,Speech,adultwoman,announcer,Locale_MainScenario:d_main_15af_02_2,True,,70,70,1.0,,,,,,7,idle,,,,,,,,,,,,,
d_main_15af_02_3,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_3,True,,70,1,0.5,,,,,,7,idle,,syuen,1,idle,,rian,3,idle,,mana,13,idle,
d_main_15af_02_4,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_4,True,,1,1,1.0,,,,,,7,idle,,,1,idle,,,3,idle,,,13,idle,
d_main_15af_02_5,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_5,True,,1,1,1.0,,,,,,7,idle,,,1,idle,,,3,idle,,,13,idle,
d_main_15af_02_6,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_6,True,,1,XS_10,2.0,,,,,,7,idle,,,1,idle,,,3,idle,,,13,idle,
d_main_15af_02_7,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_7,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,think,,,3,idle,,,13,idle,
d_main_15af_02_8,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_8,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,think,,,3,idle,,,13,idle,
d_main_15af_02_9,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_9,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,surprise,,,3,idle,,,13,idle,
d_main_15af_02_10,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_10,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,delight,,,3,idle,,,13,idle,
d_main_15af_02_11,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_11,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,delight,,,3,idle,,,13,idle,
d_main_15af_02_12,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_12,True,,XS_10,XS_10,1.0,,,,,,7,idle,,,1,idle,,,3,idle,,,13,idle,
d_main_15af_02_13,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_13,True,,XS_10,1,0.5,,,,,,7,idle,,,1,idle,,,3,idle,,,13,idle,
d_main_15af_02_14,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_14,True,,1,1,1.0,bgm_story_lastbullet,,,,,7,idle,,,1,delight,,,3,idle,,,13,idle,
d_main_15af_02_15,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_15,True,EventScene_Main_15_After_01,matis_event_02,matis_event_02,1.0,,white,,,,7,idle,adultwoman,,1,delight,syuen,,3,idle,rian,,13,idle,mana
d_main_15af_02_16,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_16,True,,matis_event_02,matis_event_01,2.0,,,Low_2,,,,,,,,,,,,,,,,,
d_main_15af_02_17,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_17,True,,matis_event_01,matis_event_01,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_18,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_18,True,,matis_event_01,matis_event_01,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_19,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_19,True,,matis_event_01,matis_event_02,1.5,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_20,d_main_15af_02,Speech,laplace,laplace,Locale_MainScenario:d_main_15af_02_20,True,,matis_event_02,matis_event_02,1.0,,,Low_2,,,,,,,,,,,,,,,,,
d_main_15af_02_21,d_main_15af_02,Speech,drake,drake,Locale_MainScenario:d_main_15af_02_21,True,,matis_event_02,matis_event_03,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_22,d_main_15af_02,Speech,drake,drake,Locale_MainScenario:d_main_15af_02_22,True,,matis_event_03,matis_event_03,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_23,d_main_15af_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_15af_02_23,True,,matis_event_03,matis_event_04,2.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_24,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_24,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_25,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_25,True,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_26,d_main_15af_02,Narration,,Narration,Locale_MainScenario:d_main_15af_02_26,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_27,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_27,True,,matis_event_01,matis_event_01,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_28,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_28,True,,matis_event_01,matis_event_01,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_29,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_29,True,,matis_event_01,matis_event_05,2.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_30,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_30,True,,matis_event_05,matis_event_05,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_31,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_31,True,,matis_event_05,matis_event_05,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_32,d_main_15af_02,Speech,reporter,reporter,Locale_MainScenario:d_main_15af_02_32,False,,matis_event_05,matis_event_01,2.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_33,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_33,True,,matis_event_01,matis_event_01,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_34,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_34,True,Laboratory,black,black,1.0,,,,Grey,,,,,,,,,,,,,,,,
d_main_15af_02_35,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_35,True,,15,1,2.0,,,,Grey,,,,,,,,,,,,,,,,
d_main_15af_02_36,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_36,True,,1,1,1.0,,,,Grey,,,,,,,,,,,,,,,,
d_main_15af_02_37,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_37,True,Factory,1,1,1.0,,,,Grey,laplace,2,void,,drake,12,void,,,,,,,,,
d_main_15af_02_38,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_38,True,,1,13,2.0,,,,Grey,,2,void,,,12,void,,maxwell,14,void,,,,,
d_main_15af_02_39,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_39,True,,13,140,2.0,,,,Grey,,2,void,,,12,void,,,14,void,,,,,
d_main_15af_02_40,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_40,True,,black,black,1.0,,,,,,2,void,laplace,,12,void,drake,,14,void,maxwell,,,,
d_main_15af_02_41,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_41,True,EventScene_Main_15_After_01,black,black,1.0,,,,,,,,,,,,,,,,,,,,
d_main_15af_02_42,d_main_15af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_02_42,True,,matis_event_05,matis_event_01,2.5,,,,,,,,,,,,,,,,,,,,
