id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake
d_ex_elevator_07_1,d_ex_elevator_07,Monologue,sugar,Locale_SuddenStory:d_ex_elevator_07_1,False,ElevatorOut,1,1,1.0,bgm_story_breakaway,,,,,,,
d_ex_elevator_07_2,d_ex_elevator_07,Monologue,sugar,Locale_SuddenStory:d_ex_elevator_07_2,False,,1,1,1.0,,,,,,,,
d_ex_elevator_07_3,d_ex_elevator_07,Narration,sugar,Locale_SuddenStory:d_ex_elevator_07_3,False,,1,1,1.0,,sfx_scn_bikeengine,,,,,,
d_ex_elevator_07_4,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_4,True,,1,XS_10,1.0,,,sugar,sugar,1,surprise,,
d_ex_elevator_07_5,d_ex_elevator_07,Monologue,sugar,Locale_SuddenStory:d_ex_elevator_07_5,False,,XS_10,XS_10,1.0,,,,,1,surprise,,
d_ex_elevator_07_6,d_ex_elevator_07,Monologue,sugar,Locale_SuddenStory:d_ex_elevator_07_6,False,,XS_10,XS_10,1.0,,,,,1,surprise,,
d_ex_elevator_07_7,d_ex_elevator_07,Self,sugar,Locale_SuddenStory:d_ex_elevator_07_7,False,,XS_10,XS_10,1.0,,,,,1,surprise,,
d_ex_elevator_07_8,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_8,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_9,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_9,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_10,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_10,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_11,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_11,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_12,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_12,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_13,d_ex_elevator_07,Self,sugar,Locale_SuddenStory:d_ex_elevator_07_13,False,,XS_10,XS_10,1.0,,,,,1,idle,,
d_ex_elevator_07_14,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_14,True,,XS_10,XS_10,1.0,,,sugar,,1,idle,,
d_ex_elevator_07_15,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_15,True,,XS_10,XS_100,1.0,,,sugar,,1,angry,,
d_ex_elevator_07_16,d_ex_elevator_07,Speech,sugar,Locale_SuddenStory:d_ex_elevator_07_16,True,,XS_100,XS_100,1.0,,,sugar,,1,angry,,
