id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim
d_main_05_02_1,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_1,True,neon,3,delight,anis,1,idle,rapi,13,idle,IceLand_01,3,3,1.0,bgm_secondhand_a,,,,
d_main_05_02_2,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_2,True,,3,delight,,1,idle,,13,idle,,3,S_30,1.0,,,,,
d_main_05_02_3,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_3,True,,3,delight,,1,idle,,13,idle,,S_30,S_300,1.0,,,,,
d_main_05_02_4,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_4,True,,3,delight,,1,idle,,13,idle,,S_300,10,1.0,,,,,
d_main_05_02_5,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_5,True,,3,delight,,1,idle,,13,idle,,10,S_30,1.0,,,,,
d_main_05_02_6,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_6,True,,3,delight,,1,idle,,13,idle,,S_30,31,1.0,,,,,
d_main_05_02_7,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_7,True,,3,idle,,1,idle,,13,idle,,31,31,1.0,,,,,
d_main_05_02_8,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_8,True,,3,idle,,1,idle,,13,idle,,31,31,1.0,,,,,
d_main_05_02_9,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_9,True,,3,idle,,1,idle,,13,idle,,31,10,1.0,,,,,
d_main_05_02_10,d_main_05_02,Choice,Choice,,Locale_MainScenario:d_main_05_02_10,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,d_main_05_02_12,,,
d_main_05_02_11,d_main_05_02,Choice,Choice,,Locale_MainScenario:d_main_05_02_11,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,d_main_05_02_14,,,
d_main_05_02_12,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_12,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,,
d_main_05_02_13,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_13,True,,3,idle,,1,delight,,13,idle,,10,10,1.0,,d_main_05_02_16,,,
d_main_05_02_14,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_14,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,,
d_main_05_02_15,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_15,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,d_main_05_02_16,,,
d_main_05_02_16,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_16,True,,3,idle,,1,idle,,13,idle,,10,31,1.0,,,,,
d_main_05_02_17,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_17,True,,3,idle,,1,idle,,13,idle,,31,31,1.0,,,,,
d_main_05_02_18,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_18,True,,3,idle,,1,idle,,13,idle,,31,31,1.0,,,,,
d_main_05_02_19,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_19,True,,3,idle,,1,idle,,13,idle,,31,13,1.0,,,,,
