id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_outdoorpool_05_1,d_ex_outdoorpool_05,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_05_1,True,Pool,3,XS_30,1.0,sfx_scn_spraywater,bgm_story_splashpad,,,anis_s,3,idle,,,,,
d_ex_outdoorpool_05_2,d_ex_outdoorpool_05,Narration,,Narration,Locale_SuddenStory:d_ex_outdoorpool_05_2,False,,XS_30,2,1.0,,,,,,3,idle,,helm_s,1,idle,
d_ex_outdoorpool_05_3,d_ex_outdoorpool_05,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_05_3,True,,2,2,1.0,,,,,,3,idle,,,1,idle,
d_ex_outdoorpool_05_4,d_ex_outdoorpool_05,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_outdoorpool_05_4,True,,2,2,1.0,,,,,,3,idle,,,1,idle,
d_ex_outdoorpool_05_5,d_ex_outdoorpool_05,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_05_5,True,,2,2,1.0,,,,,,3,worry,,,1,idle,
d_ex_outdoorpool_05_6,d_ex_outdoorpool_05,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_05_6,True,,2,2,1.0,,,,,,3,worry,,,1,idle,
d_ex_outdoorpool_05_7,d_ex_outdoorpool_05,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_outdoorpool_05_7,True,,2,2,1.0,,,,,,3,worry,,,1,idle,
d_ex_outdoorpool_05_8,d_ex_outdoorpool_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_outdoorpool_05_8,False,,2,2,1.0,,,,,,3,idle,,,1,idle,
d_ex_outdoorpool_05_9,d_ex_outdoorpool_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_outdoorpool_05_9,False,,2,2,1.0,,,,,,3,idle,,,1,idle,
d_ex_outdoorpool_05_10,d_ex_outdoorpool_05,Choice,,,Locale_SuddenStory:d_ex_outdoorpool_05_10,False,,2,2,1.0,,,d_ex_outdoorpool_05_12,,,3,idle,,,1,idle,
d_ex_outdoorpool_05_11,d_ex_outdoorpool_05,Choice,,,Locale_SuddenStory:d_ex_outdoorpool_05_11,False,,2,2,1.0,,,d_ex_outdoorpool_05_14,,,3,idle,,,1,idle,
