id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_30_01_s_1,d_main_30_01_s,Monologue,Locale_MainScenario:d_main_30_01_s_1,False,HarmonyCube,black,black,2.0,sfx_scn_naturalfootstep,bgm_chapter30_field_whitecity,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_2,d_main_30_01_s,Monologue,Locale_MainScenario:d_main_30_01_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_3,d_main_30_01_s,Monologue,Locale_MainScenario:d_main_30_01_s_3,False,,1,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_4,d_main_30_01_s,Monologue,Locale_MainScenario:d_main_30_01_s_4,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_5,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_5,True,,5,5,1.0,,,rapi,rapi,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_6,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_6,True,,5,5,1.0,,,anis,anis,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_7,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_7,True,,5,5,1.0,,,neon,neon,,,,,,,,,,,,,,,,,,,,,,
d_main_30_01_s_8,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_8,True,CrystalCity,1,S_10,2.0,,,trony_op_r,trony_op_r,rapi,3,idle,anis,5,void,neon,7,idle,elegg,1,worry,drilley,13,idle,fragile,15,idle,trony_op_r,OP_rightup,idle,
d_main_30_01_s_9,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_9,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,worry,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_10,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_10,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,worry,,13,idle,,15,idle,,OP_rightup,idle,
