id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_police_04_1,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_1,True,Police,1,10,0.5,bgm_story_shopperholic,,,rupee_w,1,delight,,,,
d_ex_police_04_2,d_ex_police_04,Self,rupee_w,Self,Locale_SuddenStory:d_ex_police_04_2,False,,10,10,1.0,,,,,1,delight,,,,
d_ex_police_04_3,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_3,True,,10,10,1.0,,,,,1,sad,,,,
d_ex_police_04_4,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_4,True,,10,10,1.0,,,,,1,sad,,,,
d_ex_police_04_5,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_5,True,,10,10,1.0,,,,,1,sad,,,,
d_ex_police_04_6,d_ex_police_04,Self,rupee_w,Self,Locale_SuddenStory:d_ex_police_04_6,False,,10,10,1.0,,,,,1,sad,,,,
d_ex_police_04_7,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_7,True,,10,10,1.0,,,,,1,etc,,,,
d_ex_police_04_8,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_8,True,,10,10,1.0,,,,,1,etc,,,,
d_ex_police_04_9,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_9,True,,10,10,1.0,,Low_2,,,1,etc,,,,
d_ex_police_04_10,d_ex_police_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_police_04_10,False,,1,1,1.0,none,,,,12,surprise,viper,2,idle,
d_ex_police_04_11,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_11,True,,1,1,1.0,bgm_story_kneeldownfools,,,,12,surprise,,2,idle,
d_ex_police_04_12,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_12,True,,1,1,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_13,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_13,True,,1,1,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_14,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_14,True,,1,1,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_15,d_ex_police_04,Self,viper,Self,Locale_SuddenStory:d_ex_police_04_15,False,,1,1,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_16,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_16,True,,1,1,1.0,,,,,12,sad,,2,good,
d_ex_police_04_17,d_ex_police_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_police_04_17,False,,1,20,2.0,,,,,12,sad,,2,idle,
d_ex_police_04_18,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_18,True,,20,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_19,d_ex_police_04,Monologue,rupee_w,Monologue,Locale_SuddenStory:d_ex_police_04_19,False,,black,black,2.0,,,,,12,sad,,2,idle,
d_ex_police_04_20,d_ex_police_04,Self,rupee_w,Self,Locale_SuddenStory:d_ex_police_04_20,False,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_21,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_21,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_22,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_22,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_23,d_ex_police_04,Choice,rupee_w,,Locale_SuddenStory:d_ex_police_04_23,False,,120,120,1.0,,,d_ex_police_04_25,,12,sad,,2,idle,
d_ex_police_04_24,d_ex_police_04,Choice,rupee_w,,Locale_SuddenStory:d_ex_police_04_24,False,,120,120,1.0,,,d_ex_police_04_27,,12,sad,,2,idle,
d_ex_police_04_25,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_25,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_26,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_26,True,,120,120,1.0,,,d_ex_police_04_28,,12,sad,,2,idle,
d_ex_police_04_27,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_27,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_28,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_28,True,,120,120,1.0,,,,,12,sad,,2,idle,
