id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound
d_ex_tower_06_1,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_1,False,tia,1,idle,Park,1,1,1.0,bgm_story_girlstalk,,,,,,
d_ex_tower_06_2,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_2,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_3,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_3,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_4,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_4,True,,1,delight,,1,10,0.5,,tia,,,,,
d_ex_tower_06_5,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_5,False,,1,delight,,10,10,1.0,,,,,,,
d_ex_tower_06_6,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_6,False,,1,delight,,10,10,1.0,,,,,,,
d_ex_tower_06_7,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_7,True,,1,delight,,10,10,1.0,,tia,,,,,
d_ex_tower_06_8,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_8,True,,1,delight,,10,10,1.0,,tia,,,,,
d_ex_tower_06_9,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_9,False,,1,delight,,black,black,1.0,,,,,,,
d_ex_tower_06_10,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_10,False,,1,delight,Police,black,black,1.0,,,,,,,
d_ex_tower_06_11,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_11,True,,1,idle,,1,1,1.0,,tia,,,,,
d_ex_tower_06_12,d_ex_tower_06,Choice,,Locale_SuddenStory:d_ex_tower_06_12,False,,1,idle,,1,1,1.0,,,d_ex_tower_06_14,,,,
d_ex_tower_06_13,d_ex_tower_06,Choice,,Locale_SuddenStory:d_ex_tower_06_13,False,,1,idle,,1,1,1.0,,,d_ex_tower_06_16,,,,
d_ex_tower_06_14,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_14,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_15,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_15,True,,1,delight,,1,1,1.0,,tia,d_ex_tower_06_18,,,,
d_ex_tower_06_16,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_16,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_17,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_17,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_18,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_18,True,,1,delight,,1,1,1.0,,tia,,,,,
d_ex_tower_06_19,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_19,False,,1,idle,,1,1,1.0,,,,,,,
d_ex_tower_06_20,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_20,True,,1,idle,,1,1,1.0,none,tia,,,,,
d_ex_tower_06_21,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_21,True,,1,idle,,1,S_130,1.0,bgm_story_heynewbie,exia,,exia,13,idle,
d_ex_tower_06_22,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_22,True,,1,idle,,S_130,12,1.0,,tia,,,13,idle,
d_ex_tower_06_23,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_23,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
