id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_04af_07_1,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_1,True,Office,1,1,1.0,bgm_story_fairytalesend_a,andersen,1,idle
d_main_04af_07_2,d_main_04af_07,Self,andersen,Self,Locale_MainScenario:d_main_04af_07_2,True,,1,1,1.0,,,1,idle
d_main_04af_07_3,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_3,True,,1,1,1.0,,,1,idle
d_main_04af_07_4,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_4,True,,1,L_10,1.0,,,1,idle
d_main_04af_07_5,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_5,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_6,d_main_04af_07,Self,andersen,Self,Locale_MainScenario:d_main_04af_07_6,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_7,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_7,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_8,d_main_04af_07,Self,andersen,Self,Locale_MainScenario:d_main_04af_07_8,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_9,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_9,True,,L_10,1,1.0,,,1,idle
d_main_04af_07_10,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_10,True,,1,1,1.0,,,1,idle
d_main_04af_07_11,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_11,True,,1,1,1.0,,,1,idle
d_main_04af_07_12,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_12,True,,1,L_10,1.0,,,1,idle
d_main_04af_07_13,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_13,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_14,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_14,True,,L_10,L_100,1.0,,,1,idle
d_main_04af_07_15,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_15,True,,L_100,L_100,1.0,,,1,idle
d_main_04af_07_16,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_16,True,,L_100,L_10,1.0,,,1,idle
d_main_04af_07_17,d_main_04af_07,Self,andersen,Self,Locale_MainScenario:d_main_04af_07_17,True,,L_10,L_10,1.0,,,1,idle
d_main_04af_07_18,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_18,True,,L_10,1,1.0,,,1,idle
d_main_04af_07_19,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_19,True,,1,1,1.0,,,1,idle
d_main_04af_07_20,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_20,True,,1,1,1.0,,,1,idle
d_main_04af_07_21,d_main_04af_07,Self,andersen,Self,Locale_MainScenario:d_main_04af_07_21,True,,1,1,1.0,,,1,idle
d_main_04af_07_22,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_22,True,,1,1,1.0,,,1,idle
d_main_04af_07_23,d_main_04af_07,Speech,andersen,andersen,Locale_MainScenario:d_main_04af_07_23,True,,1,1,1.0,,,1,idle
