id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_31_06_1,d_main_31_06,Speech,rapi,rapi,Locale_MainScenario:d_main_31_06_1,True,CrystalField_1,4,4,1.0,bgm_story_confront,,,,,,vesti,9,idle,,emma,7,angry,,eunhwa,5,idle,,rapi,3,angry,,anis,1,void,,neon,13,idle,,,,,,,,,,,,,
d_main_31_06_2,d_main_31_06,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_06_2,True,,4,4,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,angry,,,1,void,,,13,idle,,,,,,,,,,,,,
d_main_31_06_3,d_main_31_06,Speech,rapi,rapi,Locale_MainScenario:d_main_31_06_3,True,,4,30,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,angry,,,1,void,,,13,idle,,,,,,,,,,,,,
d_main_31_06_4,d_main_31_06,Speech,rapi,rapi,Locale_MainScenario:d_main_31_06_4,True,,30,30,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,grave_no,17,idle,,,,,
d_main_31_06_5,d_main_31_06,Monologue,grave_no,,Locale_MainScenario:d_main_31_06_5,False,,17,17,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,17,idle,,,,,
d_main_31_06_6,d_main_31_06,Monologue,grave_no,,Locale_MainScenario:d_main_31_06_6,False,,17,17,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,17,idle,,,,,
d_main_31_06_7,d_main_31_06,Monologue,grave_no,,Locale_MainScenario:d_main_31_06_7,False,,17,17,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,,,,,17,idle,,,,,
d_main_31_06_8,d_main_31_06,Speech,shifty,shifty,Locale_MainScenario:d_main_31_06_8,True,,5,5,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,shifty,OP_leftup,worry,,,17,idle,,,,,
d_main_31_06_9,d_main_31_06,Speech,shifty,shifty,Locale_MainScenario:d_main_31_06_9,True,,5,5,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,OP_leftup,worry,,,17,idle,,,,,
d_main_31_06_10,d_main_31_06,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_06_10,True,,5,50,1.0,,,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,void,,,13,idle,,,OP_leftup,worry,,,17,idle,,,,,
