id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/0/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,jump_target
d_main_01af_04_1,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_1,True,rapi,15,idle,anis,17,sad,SimulationRoom,1517,1517,1.0,bgm_inark,,,,,,,,,,,
d_main_01af_04_2,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_2,True,,15,idle,,17,sad,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_3,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_3,False,,15,idle,,17,void,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_4,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_4,True,,15,idle,,17,void,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_5,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_5,True,,15,idle,,17,void,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_6,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_6,True,,15,idle,,17,void,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_7,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_7,True,,15,idle,,17,sad,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_8,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_8,True,,15,idle,,17,delight,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_9,d_main_01af_04,Self,anis,Self,Locale_MainScenario:d_main_01af_04_9,True,,15,idle,,17,delight,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_10,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_10,True,,15,idle,,17,delight,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_11,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_11,True,,15,idle,,17,worry,,1517,1517,1.0,,,,,,,,,,,,
d_main_01af_04_12,d_main_01af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_04_12,True,andersen,15,idle,,,,Office,L_150,L_150,1.0,bgm_story_fairytalesend_if,ingrid,13,idle,rapi,anis,black,,,,,
d_main_01af_04_13,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_13,True,,15,idle,,,,,L_130,L_130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_14,d_main_01af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_04_14,True,,15,think,,,,,L_150,L_1500,1.0,,,13,idle,,,,,,,,
d_main_01af_04_15,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_15,True,,15,think,,,,,L_130,L_1300,0.5,,,13,idle,,,,,,,,
d_main_01af_04_16,d_main_01af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_04_16,True,,15,idle,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_17,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_17,True,,15,idle,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_18,d_main_01af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_04_18,True,,15,idle,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_19,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_19,True,,15,idle,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_20,d_main_01af_04,Speech,andersen,andersen,Locale_MainScenario:d_main_01af_04_20,True,,15,think,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_21,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_21,True,,15,think,,,,,1315,L_130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_22,d_main_01af_04,Speech,ingrid,ingrid,Locale_MainScenario:d_main_01af_04_22,True,,15,think,,,,,L_130,L_1300,1.0,none,,13,idle,,,,,,,,
d_main_01af_04_23,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_23,True,anis,15,angry,,,,ElevatorOut,15,150,1.0,bgm_inark,rapi,13,idle,andersen,,black,ingrid,,,,
d_main_01af_04_24,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_24,True,,15,angry,,,,,150,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_25,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_25,True,,15,angry,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_26,d_main_01af_04,Self,anis,Self,Locale_MainScenario:d_main_01af_04_26,True,,15,angry,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_27,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_27,True,,15,sad,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_28,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_28,True,,15,sad,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_29,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_29,False,,15,sad,,,,,1315,150,1.0,,,13,idle,,,,,,,,
d_main_01af_04_30,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_30,True,,15,void,,,,,150,150,1.0,,,13,idle,,,,,,,,
d_main_01af_04_31,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_31,True,,15,void,,,,,130,130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_32,d_main_01af_04,Self,rapi,Self,Locale_MainScenario:d_main_01af_04_32,True,,15,void,,,,,130,130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_33,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_33,True,,15,void,,,,,130,1300,1.0,,,13,idle,,,,,,,,
d_main_01af_04_34,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_34,True,,15,angry,,,,,150,1500,1.0,,,13,idle,,,,,,,,
d_main_01af_04_35,d_main_01af_04,Self,anis,Self,Locale_MainScenario:d_main_01af_04_35,True,,15,angry,,,,,1500,1500,1.0,,,13,idle,,,,,,,,
d_main_01af_04_36,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_36,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_37,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_37,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_38,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_38,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_39,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_39,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,,,
d_main_01af_04_40,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_40,True,,15,idle,,,,,1315,150,1.0,,,13,idle,,,,,,,,
d_main_01af_04_41,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_41,True,,15,idle,,,,,130,130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_42,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_42,True,,15,idle,,,,,130,130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_43,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_43,True,,15,idle,,,,,130,130,1.0,,,13,idle,,,,,,,,
d_main_01af_04_44,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_44,True,,15,idle,,,,,150,150,1.0,,,13,idle,,,,,,,,
d_main_01af_04_45,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_45,True,,15,idle,,,,,150,1500,1.0,,,13,idle,,,,,,,,
d_main_01af_04_46,d_main_01af_04,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_04_46,True,,15,idle,,,,,1500,150,1.0,,,13,idle,,,,,shifty,OP_leftup,idle,
d_main_01af_04_47,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_47,True,,15,void,,,,,150,1500,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_48,d_main_01af_04,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_04_48,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_49,d_main_01af_04,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_04_49,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_50,d_main_01af_04,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_04_50,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_51,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_51,False,,15,no,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_52,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_52,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_53,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_53,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_54,d_main_01af_04,Choice,rapi,,Locale_MainScenario:d_main_01af_04_54,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,d_main_01af_04_56
d_main_01af_04_55,d_main_01af_04,Choice,rapi,,Locale_MainScenario:d_main_01af_04_55,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,d_main_01af_04_58
d_main_01af_04_56,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_56,True,,15,void,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_57,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_57,True,,15,delight,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,d_main_01af_04_61
d_main_01af_04_58,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_58,True,,15,delight,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_59,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_59,True,,15,delight,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
d_main_01af_04_60,d_main_01af_04,Speech,anis,anis,Locale_MainScenario:d_main_01af_04_60,True,,15,delight,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,d_main_01af_04_61
d_main_01af_04_61,d_main_01af_04,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_04_61,True,,15,delight,,,,,1315,1315,1.0,,,13,idle,,,,,,OP_leftup,idle,
