id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_03_04_1,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_1,True,CityForest_03,S_190,S_1900,1.0,bgm_risk,,rapi,1,idle,,anis,3,void,,neon,13,idle,,mihara,17,idle,,yuni,19,idle,
d_main_03_04_2,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_2,True,,S_1900,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_3,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_3,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_4,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_4,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_5,d_main_03_04,Speech,rapi,rapi,Locale_MainScenario:d_main_03_04_5,True,,1719,1,1.0,,,,1,think,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_6,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_6,True,,1,19,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_7,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_7,False,,19,17,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_8,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_8,True,,17,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_9,d_main_03_04,Speech,rapi,rapi,Locale_MainScenario:d_main_03_04_9,True,,1,1,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_10,d_main_03_04,Speech,anis,anis,Locale_MainScenario:d_main_03_04_10,True,,1,3,1.0,,,,1,idle,,,3,angry,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_11,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_11,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
