id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,highlight,speaker,fade,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01
d_ex_toyshop_08_1,d_ex_toyshop_08,Monologue,Locale_SuddenStory:d_ex_toyshop_08_1,False,ToyShop,19,19,1.0,bgm_story_whosdumber,,,,,,,,,,,,,,,,,,
d_ex_toyshop_08_2,d_ex_toyshop_08,Narration,Locale_SuddenStory:d_ex_toyshop_08_2,False,,19,19,1.0,,bay,1,idle,mica,3,idle,belorta,13,idle,sfx_scn_chimebell02,,,,,,,,
d_ex_toyshop_08_3,d_ex_toyshop_08,Speech,Locale_SuddenStory:d_ex_toyshop_08_3,True,,19,XS_130,1.0,,,1,idle,,3,idle,,13,idle,,belorta,belorta,,,,,,
d_ex_toyshop_08_4,d_ex_toyshop_08,Speech,Locale_SuddenStory:d_ex_toyshop_08_4,True,,XS_130,2,1.0,,,1,idle,,3,delight,,13,idle,,mica,mica,,,,,,
d_ex_toyshop_08_5,d_ex_toyshop_08,Speech,Locale_SuddenStory:d_ex_toyshop_08_5,True,,2,2,1.0,,,1,idle,,3,idle,,13,idle,,bay,bay,,,,,,
d_ex_toyshop_08_6,d_ex_toyshop_08,Self,Locale_SuddenStory:d_ex_toyshop_08_6,False,,2,2,1.0,,,1,idle,,3,idle,,13,idle,,bay,,,,,,,
d_ex_toyshop_08_7,d_ex_toyshop_08,Monologue,Locale_SuddenStory:d_ex_toyshop_08_7,False,,black,black,1.0,,,1,idle,,3,idle,,13,idle,,bay,,,,,,,
d_ex_toyshop_08_8,d_ex_toyshop_08,Self,Locale_SuddenStory:d_ex_toyshop_08_8,False,,12,12,1.0,,,1,idle,,3,idle,,13,idle,,bay,,,,,,,
d_ex_toyshop_08_9,d_ex_toyshop_08,Speech,Locale_SuddenStory:d_ex_toyshop_08_9,True,,12,XS_130,1.0,,,1,idle,,3,idle,,13,idle,,belorta,belorta,,,,,,
d_ex_toyshop_08_10,d_ex_toyshop_08,Self,Locale_SuddenStory:d_ex_toyshop_08_10,False,,XS_130,XS_130,1.0,,,1,idle,,3,idle,,13,idle,,belorta,,,,,,,
