id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_22_10_1,d_main_22_10,Narration,Locale_MainScenario:d_main_22_10_1,False,ElevatorOut,black,black,1.0,bgm_story_conflict,,,,eh,1,pain,,moran,13,angry,,rosanna,15,angry,sakura,17,angry,,,,,
d_main_22_10_2,d_main_22_10,Narration,Locale_MainScenario:d_main_22_10_2,False,,black,black,1.0,,,,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,,,
d_main_22_10_3,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_3,True,,113,113,1.0,,moran,moran,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,,,
d_main_22_10_4,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_4,True,,113,113,1.0,,eh,eh,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,,,
d_main_22_10_5,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_5,True,,113,113,1.0,,moran,moran,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,,,
d_main_22_10_6,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_6,True,,black,black,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,doban,3,talk,
d_main_22_10_7,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_7,True,,3,3,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,talk,
d_main_22_10_8,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_8,True,,3,3,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,talk,
d_main_22_10_9,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_9,True,,3,17,2.0,,sakura,sakura,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,talk,
d_main_22_10_10,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_10,True,,17,17,1.0,,sakura,sakura,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,talk,
d_main_22_10_11,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_11,True,,17,170,1.0,,sakura,sakura,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,talk,
d_main_22_10_12,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_12,True,,XL_30,XL_30,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_13,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_13,True,,XL_30,XL_30,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_14,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_14,False,,10,10,1.0,,eh,eh,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_15,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_15,True,,150,150,1.0,,rosanna,rosanna,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_16,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_16,True,,XL_30,XL_30,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_17,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_17,True,,XL_30,XL_30,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_18,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_18,True,,130,130,1.0,,moran,moran,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_19,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_19,True,,130,170,2.0,,sakura,sakura,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_20,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_20,True,,170,170,1.0,,sakura,sakura,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_21,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_21,True,,170,150,1.0,,rosanna,rosanna,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_22,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_22,True,,150,150,1.0,,rosanna,rosanna,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,smile,
d_main_22_10_23,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_23,True,,150,150,1.0,,rosanna,rosanna,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_24,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_24,False,,XL_30,XL_30,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_25,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_25,True,,XL_30,XL_300,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_26,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_26,True,,XL_300,XL_300,1.0,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_27,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_27,True,,1500,1500,1.0,,rosanna,rosanna,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_28,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_28,True,,XL_300,XL_30,0.5,,doban,doban,,,1,pain,,,13,angry,,,15,angry,,17,angry,,,3,angry,
d_main_22_10_29,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_29,True,,XL_30,31,2.0,,eh,eh,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,angry,
d_main_22_10_30,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_30,True,,31,31,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_31,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_31,True,,31,31,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_32,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_32,True,,31,31,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_33,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_33,True,,31,31,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_34,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_34,True,,31,31,1.0,,doban,doban,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_35,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_35,False,,31,31,1.0,,eh,eh,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
d_main_22_10_36,d_main_22_10,Speech,Locale_MainScenario:d_main_22_10_36,True,,31,31,1.0,,eh,eh,,,1,idle,,,13,angry,,,15,angry,,17,angry,,,3,idle,
